filename type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
string enum enum numeric numeric numeric enum enum
VELA02_a0.260_0003884__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 7 F160W 19.2165 0.0850 19.8232 0.0906 25.6757 0.0256 2.4465 0.1244 1.17029539816 0.0595073564402 0.9503 0.1921 0.8912 0.0530 -42.8038 19.3384 0.336313874008 -2.599e-05
VELA02_a0.260_0003884__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 8 F160W 19.2062 0.0786 19.8942 0.0818 25.6580 0.0234 2.6322 0.1051 1.25912591336 0.0502751058028 0.7149 0.1429 0.8868 0.0439 -32.3577 17.9340 0.355431813529 -2.529e-05
VELA02_a0.270_0003283__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 0 F160W 20.3074 0.0786 19.3176 0.0915 25.4828 0.0238 3.5834 0.1473 1.73704362888 0.071403283623 0.5932 0.0919 0.8361 0.0331 24.6017 8.5401 0.489001506757 -3.829e-05
VELA02_a0.270_0003283__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 1 F160W 20.5334 0.0991 19.9517 0.0667 25.7712 0.0244 3.6202 0.1446 1.75488233111 0.0700944657969 0.2974 0.0881 0.2688 0.0430 87.4099 1.7955 0.311181034412 -1.353e-05
VELA02_a0.270_0003283__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 5 F160W 19.8065 0.0739 19.4272 0.0854 25.5516 0.0262 3.1597 0.1281 1.53165617966 0.0620961346375 0.4756 0.0869 0.8487 0.0354 -89.1923 10.4008 0.436921372002 -2.432e-05
VELA02_a0.270_0003283__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 6 F160W 20.4334 0.1328 19.8726 0.0763 25.8447 0.0252 3.9776 0.1769 1.92813103149 0.0857518049756 0.2949 0.0879 0.2745 0.0388 87.9765 2.1775 0.662432797568 -1.591e-05
VELA02_a0.270_0003283__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 7 F160W 19.4305 0.0939 19.6816 0.0848 25.5475 0.0236 3.4022 0.1350 1.64920741033 0.0654408913041 0.6068 0.0878 0.6899 0.0376 -72.8472 4.8635 0.495630847994 -2.720e-05
VELA02_a0.270_0003283__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 270 2.434 2.7037037037 8 F160W 19.4901 0.0912 19.6651 0.0720 25.5183 0.0234 3.4984 0.1469 1.69584010473 0.0712093846858 0.5657 0.0857 0.7164 0.0354 -59.6175 5.4435 0.471303741387 -3.693e-05
VELA02_a0.280_0003521__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 0 F160W 21.0721 0.0930 20.3866 0.0790 25.3198 0.0186 4.0328 0.1459 1.9781300871 0.0715654581702 0.6385 0.0876 0.8271 0.0282 56.0055 7.5815 0.476260455149 -2.295e-05
VELA02_a0.280_0003521__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 1 F160W 20.2586 0.0969 20.2708 0.0629 25.5641 0.0206 3.5925 0.1251 1.76215838572 0.0613628431603 0.4675 0.0975 0.3630 0.0315 -89.1196 2.0255 0.321179207453 1.535e-05
VELA02_a0.280_0003521__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 5 F160W 20.9008 0.0773 20.1893 0.0829 25.3166 0.0208 3.2350 0.1345 1.58680094024 0.0659736403282 0.6766 0.0872 0.9999 0.0418 59.8379 17722.1113 0.420807478665 -4.425e-05
VELA02_a0.280_0003521__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 6 F160W 21.4490 0.1253 20.1615 0.0614 25.5664 0.0227 4.9350 0.1732 2.42066851316 0.0849563903706 0.1575 0.0741 0.2336 0.0230 81.6572 1.2806 0.54192824715 -1.103e-05
VELA02_a0.280_0003521__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 7 F160W 20.5967 0.0971 19.7242 0.0894 25.3014 0.0214 3.5631 0.1271 1.74773738181 0.0623438638343 0.5114 0.0779 0.9292 0.0300 15.9965 18.5263 0.438221760717 -4.171e-05
VELA02_a0.280_0003521__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 280 2.568 2.57142857143 8 F160W 20.5698 0.0826 19.8503 0.0846 25.3356 0.0183 3.5557 0.1189 1.74410760532 0.0583216790708 0.3944 0.0639 0.9058 0.0309 11.6152 14.8841 0.398487760835 -2.006e-05
VELA02_a0.290_0003068__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 0 F160W 21.7681 0.0920 21.0060 0.0692 25.1738 0.0182 4.3264 0.1758 2.14442447643 0.0871370707649 0.7873 0.0772 0.8234 0.0318 75.5477 7.1554 0.49314573026 -3.358e-05
VELA02_a0.290_0003068__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 1 F160W 20.7291 0.1064 20.9214 0.0746 25.7000 0.0278 3.8709 0.1846 1.91865123563 0.0914988809056 0.6970 0.1221 0.2873 0.0377 85.0612 2.0264 0.392575269868 8.383e-05
VELA02_a0.290_0003068__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 5 F160W 21.4009 0.0987 21.6269 0.0781 25.2882 0.0242 4.2406 0.1900 2.10189682756 0.0941754462191 1.2494 0.1389 0.6150 0.0317 -55.6962 3.3880 0.467134457555 -2.820e-05
VELA02_a0.290_0003068__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 6 F160W 20.9871 0.1112 20.8753 0.0678 25.6380 0.0230 3.7008 0.1341 1.83433942825 0.066468038621 0.5015 0.0952 0.3423 0.0318 -88.2149 2.2236 0.341579399423 1.081e-05
VELA02_a0.290_0003068__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits other VELA02 290 2.704 2.44827586207 6 F160W 28.7859 0.1463 37.0051 0.1199 26.9888 0.0611 1.2005 0.3523 0.595040122032 0.1746211037 1.4976 1.5624 0.5300 0.2725 59.0047 18.6895 0.293017599933 1.081e-05
VELA02_a0.290_0003068__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 7 F160W 21.9905 0.0843 21.7322 0.0742 25.1724 0.0180 4.2608 0.1358 2.11190916448 0.0673106610345 0.5303 0.0707 0.6721 0.0205 -55.5830 3.5346 0.396206718338 -3.478e-05
VELA02_a0.290_0003068__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 290 2.704 2.44827586207 8 F160W 22.2020 0.0873 22.0236 0.0646 25.1726 0.0180 4.5626 0.1330 2.26149942589 0.0659228123534 0.4629 0.0661 0.6313 0.0180 -52.0116 2.5977 0.409796475911 -2.561e-05
VELA02_a0.300_0008407__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 0 F160W 21.3413 0.1106 21.8946 0.0854 24.8901 0.0163 4.9386 0.1467 2.47035139042 0.0733812313155 0.6383 0.0690 0.7574 0.0214 -67.0208 4.5406 0.439594124084 3.342e-05
VELA02_a0.300_0008407__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 1 F160W 22.8363 0.1196 22.3364 0.0665 24.9494 0.0218 5.3527 0.1949 2.67748954916 0.0974914927293 1.5624 0.1517 0.3035 0.0187 -88.2077 1.3104 0.392331230558 1.038e-05
VELA02_a0.300_0008407__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 5 F160W 21.5220 0.1049 22.0066 0.0719 24.8960 0.0156 4.7655 0.1425 2.38376453874 0.0712803371674 0.9020 0.0922 0.6078 0.0229 85.0500 2.5417 0.377973977715 1.657e-05
VELA02_a0.300_0008407__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 6 F160W 21.3884 0.1055 22.1829 0.0613 25.1084 0.0205 4.6990 0.1440 2.3505003814 0.072030656506 0.8708 0.0994 0.3220 0.0167 85.3773 1.3433 0.330038878131 2.616e-05
VELA02_a0.300_0008407__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 7 F160W 21.3567 0.0842 22.3884 0.0724 24.8954 0.0155 4.6386 0.1282 2.3202875227 0.064127292806 0.7437 0.0767 0.7757 0.0243 68.5332 4.3636 0.413574918752 5.072e-05
VELA02_a0.300_0008407__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 300 2.842 2.33333333333 8 F160W 21.3741 0.0867 22.4169 0.0765 24.8727 0.0167 4.7231 0.1198 2.36255551211 0.0599255045098 0.6592 0.0670 0.7416 0.0221 76.0560 4.0153 0.411339150831 4.763e-05
VELA02_a0.310_0006539__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 0 F160W 22.2412 0.0741 22.8081 0.0887 25.2917 0.0195 3.5253 0.1460 1.77739875086 0.0736108182637 0.8966 0.1236 0.8092 0.0327 33.1476 7.8879 0.356151363281 9.130e-05
VELA02_a0.310_0006539__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 310 2.982 2.22580645161 1 F160W 22.3185 0.1023 22.4692 0.0672 25.4545 0.0196 3.5535 0.1359 1.79161673082 0.0685185630277 1.0358 0.1842 0.3160 0.0312 86.2408 2.0187 0.259863728495 8.882e-05
