galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
disk VELA02 260 2.301 2.84615384615 8 F160W 20.9143 239.2151 19.8432 8532.3047 26.1198 669.9775 9.749e-03 2.057e+01 0.00466348245929 9.83976143066 1.0000 0.0 0.6389 1732.6780 -89.7657 1.7125 0 1.345e-04
bulge VELA02 260 2.301 2.84615384615 8 F160W 18.8710 5507.5068 19.7378 18.8561 26.1196 3242.5898 9.719e-03 1.571e+02 0.00464913181063 75.1495634787 2.6196 2734.8936 0.9440 6265.4087 -25.8386 1.6649 0 1.345e-04
disk VELA02 270 2.434 2.7037037037 0 F160W 19.6372 1.2804 19.8115 1.0911 25.7323 0.9155 3.6492 1.4955 1.76894000405 0.724939651447 1.0000 0.0 0.6429 0.3035 69.1444 46.7787 0.282476479928 -6.710e-05
bulge VELA02 270 2.434 2.7037037037 0 F160W 21.4715 2.8399 18.1387 3.4529 27.4979 4.7213 1.5577 5.9254 0.755090936181 2.87232190617 0.1621 19.7636 0.9309 5.0070 -13.0335 2427.0825 0.348819205881 -6.710e-05
disk VELA02 270 2.434 2.7037037037 1 F160W 19.5066 3.4351 19.9241 3.7165 26.2870 13.8708 0.0179 0.0508 0.00867697743959 0.0246251650241 1.0000 0.0 0.0257 0.5071 -35.4071 23.3242 0 1.166e-05
bulge VELA02 270 2.434 2.7037037037 1 F160W 25.6269 4740.5684 80.2267 44573.0820 26.1958 47495.7891 0.0347 6316.5210 0.0168207328019 3061.91677171 6.2975 587879.6250 0.3847 113698.9375 70.1311 4489268.5000 0 1.166e-05
disk VELA02 270 2.434 2.7037037037 5 F160W 19.0899 0.1661 20.1009 0.9345 26.3724 0.9532 3.4881 1.3370 1.6908472071 0.648107197583 1.0000 0.0 0.3329 0.1477 -74.5495 4.0417 0.558639143469 1.057e-04
bulge VELA02 270 2.434 2.7037037037 5 F160W 19.1877 401.7665 18.9373 109.4150 26.0362 97.5577 1.000e-02 1.212e+02 0.00484747342994 58.7513779708 3.8663 19035.2266 0.5940 11713.1230 -6.9936 637811.6250 0 1.057e-04
disk VELA02 270 2.434 2.7037037037 6 F160W 24.7147 2236.8196 14.8763 1303.4692 26.1600 1824.8639 9.977e-03 1.232e+01 0.00483632424105 5.97208726568 1.0000 0.0 0.0490 472.6268 81.8158 27652.3086 0 -7.018e-05
bulge VELA02 270 2.434 2.7037037037 6 F160W 20.0545 4.5628 19.9548 5.1407 26.1033 33.1092 0.0166 2.3528 0.0080468058937 1.1405135486 19.8873 929.8903 0.6120 7.8238 -60.9601 610.4887 0 -7.018e-05
disk VELA02 270 2.434 2.7037037037 7 F160W 19.1468 2.3160 19.9518 1.8640 26.2188 3.7749 3.4149 4.2620 1.65536370159 2.06599317584 1.0000 0.0 0.5499 1.0123 -56.3836 71.9854 0.247839701241 -4.540e-05
bulge VELA02 270 2.434 2.7037037037 7 F160W 19.3830 3.0719 20.0817 2.5667 26.5853 5.2886 3.6431 8.3165 1.76598304526 4.03140127801 0.1112 3.7980 0.6869 0.9858 73.3896 166.6498 0.292066713563 -4.540e-05
disk VELA02 270 2.434 2.7037037037 8 F160W 18.9948 1.8850 18.7777 0.8482 25.9568 0.8645 3.0109 1.6592 1.45952577502 0.804292791495 1.0000 0.0 0.0514 0.2904 76.7599 23.7952 0.293285459969 -1.048e-04
bulge VELA02 270 2.434 2.7037037037 8 F160W 20.9092 2.4323 23.6148 3.4426 26.5508 10.9378 5.6758 146.2709 2.75132896936 70.9044301323 19.9899 454.5052 0.2524 0.7698 87.0429 42.8596 0.59497506262 -1.048e-04
disk VELA02 280 2.568 2.57142857143 0 F160W 16.3389 3.4435 19.8642 7.0313 25.3787 3.0015 31.1012 65.8912 15.2554600935 32.3203147182 1.0000 0.0 0.4438 0.3603 -13.5305 22.4265 1.86860856151 -2.216e-04
bulge VELA02 280 2.568 2.57142857143 0 F160W 21.5956 0.7453 20.3271 0.6609 25.5989 0.2720 5.3248 49.5584 2.61186944253 24.3089074858 0.0217 1.5830 0.7185 0.3143 44.3478 40.3508 0.357897233969 -2.216e-04
disk VELA02 280 2.568 2.57142857143 6 F160W 23.1871 2.0675 19.8959 0.8698 25.7862 0.4111 4.0207 0.9269 1.97219491203 0.454654031377 1.0000 0.0 0.0486 0.1764 76.2934 8.2685 0.444661031421 -2.348e-04
bulge VELA02 280 2.568 2.57142857143 6 F160W 17.5812 1.1272 21.5316 1.7318 26.1404 0.6359 6.6725 8.2568 3.27293022372 4.05004575065 2.8690 6.6193 0.2789 0.2214 21.3024 14.6905 0.457937913125 -2.348e-04
disk VELA02 280 2.568 2.57142857143 7 F160W 20.3118 0.9482 20.6155 0.8018 25.5824 0.4936 3.1890 1.1579 1.56423746473 0.567961919227 1.0000 0.0 0.6563 0.3332 61.8860 51.8390 0.241010035587 -2.641e-04
bulge VELA02 280 2.568 2.57142857143 7 F160W 19.8137 3.3315 16.0330 4.6205 25.1930 17.9652 61.5329 2132.9976 30.1825235164 1046.25737162 6.9318 78.8189 0.4319 0.2806 56.7369 28.4827 2.48477821233 -2.641e-04
disk VELA02 280 2.568 2.57142857143 8 F160W 19.9949 197.1693 23.3417 94.5889 28.4000 57.1934 14.0481 1161.9503 6.89073826539 569.948633245 1.0000 0.0 5.029e-03 5.606e-01 63.5356 64.8439 0 5.591e-05
bulge VELA02 280 2.568 2.57142857143 8 F160W 20.0570 0.8016 19.2294 0.8630 25.3779 0.2211 3.8627 1.2277 1.89469427878 0.602199540751 0.1289 0.4881 0.8916 0.2109 -49.1185 95.3047 0.235225296423 5.591e-05
