galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
other VELA02 320 3.124 2.125 0 F160W 401.5328 128.1873 21.0054 11.7119 1.4002279164 1.5937 0.7584 7.4373 0.000e+00
central VELA02 320 3.124 2.125 0 F160W 299.1077 301.2704 18.9649 37.1306 4.4391860136 1.0665 0.8366 46.9743 0.000e+00
other VELA02 320 3.124 2.125 0 F160W 293.3910 225.8774 19.8762 18.0208 2.1544947648 2.3845 0.7901 -38.8091 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 362.4969 269.4832 20.1247 11.3383 1.3555617948 2.6689 0.6452 -78.5494 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 414.4970 538.9149 22.2808 101.8514 12.1769459784 3.0724 0.3016 -26.0334 0.000e+00
central VELA02 320 3.124 2.125 1 F160W 304.4472 300.9689 19.0174 44.1630 5.279951628 0.9445 0.3498 -66.0847 0.000e+00
central VELA02 320 3.124 2.125 5 F160W 300.2080 302.9244 18.9681 36.4762 4.3609485672 0.9868 0.8766 43.6471 0.000e+00
other VELA02 320 3.124 2.125 5 F160W 237.2259 250.5933 19.6209 21.4759 2.5675727004 1.9015 0.7466 -89.0249 0.000e+00
central VELA02 320 3.124 2.125 6 F160W 302.2953 299.5230 19.0807 47.7516 5.7089902896 0.7507 0.3544 89.8797 0.000e+00
other VELA02 320 3.124 2.125 6 F160W 333.2417 245.7442 20.1551 10.4898 1.2541185288 2.1292 0.8534 -46.3153 0.000e+00
other VELA02 320 3.124 2.125 6 F160W 476.6004 438.3278 20.6648 16.1120 1.926286272 2.2485 0.8592 -66.0555 0.000e+00
central VELA02 320 3.124 2.125 7 F160W 302.1682 303.8825 18.9719 37.3887 4.4700434172 0.9596 0.9264 53.4748 0.000e+00
other VELA02 320 3.124 2.125 7 F160W 228.8808 302.1057 19.8078 30.6951 3.6697833756 2.2504 0.4052 50.8003 0.000e+00
central VELA02 320 3.124 2.125 8 F160W 302.1080 303.9559 18.9885 37.1104 4.4367709824 0.9704 0.9200 45.1005 0.000e+00
other VELA02 320 3.124 2.125 8 F160W 227.1016 298.4204 19.7382 32.2426 3.8547962856 2.1498 0.4171 55.6763 0.000e+00
central VELA02 330 3.268 2.0303030303 0 F160W 301.5749 300.2277 18.4837 27.7671 3.3197234076 1.3159 0.8672 70.5083 0.000e+00
other VELA02 330 3.268 2.0303030303 0 F160W 32.2512 489.8086 35.0340 0.0101 0.0012075156 7.0421 0.0500 -30.6409 0.000e+00
other VELA02 330 3.268 2.0303030303 0 F160W 287.0606 415.3627 19.2330 71.1270 8.503659612 0.4286 0.6356 -9.1543 0.000e+00
other VELA02 330 3.268 2.0303030303 1 F160W 177.8019 350.3629 20.1582 43.7878 5.2350942168 2.1054 0.5391 51.2341 0.000e+00
central VELA02 330 3.268 2.0303030303 1 F160W 299.4412 300.5947 18.4118 31.7696 3.7982462976 1.3826 0.4718 89.1237 0.000e+00
central VELA02 330 3.268 2.0303030303 5 F160W 301.1759 301.4684 18.3529 30.1729 3.6073512324 1.2200 0.8439 38.9548 0.000e+00
other VELA02 330 3.268 2.0303030303 5 F160W 365.7304 414.7750 19.6163 52.3973 6.2644115988 1.2797 0.5512 -30.8643 0.000e+00
central VELA02 330 3.268 2.0303030303 6 F160W 297.7880 300.0262 18.5711 42.8121 5.1184434276 0.8636 0.3688 -84.0996 0.000e+00
other VELA02 330 3.268 2.0303030303 6 F160W 108.3419 216.3522 23.4108 31.0255 3.709284678 2.1015 0.3838 0.4127 0.000e+00
other VELA02 330 3.268 2.0303030303 6 F160W 282.5892 358.2772 19.9256 37.8233 4.5220024548 2.0213 0.7219 -21.4900 0.000e+00
other VELA02 330 3.268 2.0303030303 7 F160W 420.1479 306.9509 19.2219 66.5690 7.958723364 1.0494 0.4422 -85.8753 0.000e+00
central VELA02 330 3.268 2.0303030303 7 F160W 301.1146 299.7023 18.4091 30.1783 3.6079968348 1.2680 0.8014 -31.8062 0.000e+00
central VELA02 330 3.268 2.0303030303 8 F160W 301.3100 299.8858 18.4022 29.9487 3.5805467772 1.2067 0.8240 -22.5312 0.000e+00
other VELA02 330 3.268 2.0303030303 8 F160W 418.6194 328.3327 19.2665 62.2100 7.43757876 0.9345 0.4621 -76.0381 0.000e+00
other VELA02 330 3.268 2.0303030303 8 F160W 260.5241 573.3730 20.0550 2234.2861 267.122308972 1.6648 0.7174 -78.5978 0.000e+00
central VELA02 340 3.413 1.94117647059 0 F160W 301.1724 296.3716 17.9549 30.1904 3.6094434624 1.6892 0.8466 26.4582 0.000e+00
central VELA02 340 3.413 1.94117647059 1 F160W 303.1401 299.3822 18.1482 37.2924 4.4585301744 1.1606 0.6060 -77.7972 0.000e+00
central VELA02 340 3.413 1.94117647059 5 F160W 298.0047 296.6254 17.9568 29.0047 3.4676859132 1.6098 0.9099 -58.8600 0.000e+00
central VELA02 340 3.413 1.94117647059 6 F160W 304.3255 299.3813 17.9242 30.8467 3.6879080652 1.5314 0.5900 -88.5085 0.000e+00
other VELA02 340 3.413 1.94117647059 6 F160W 181.4048 162.8383 22.3720 45.0716 5.3885802096 0.8577 0.7410 -72.9294 0.000e+00
central VELA02 340 3.413 1.94117647059 7 F160W 296.5669 298.4378 17.9378 30.5170 3.648490452 1.6766 0.8013 -87.6824 0.000e+00
central VELA02 340 3.413 1.94117647059 8 F160W 296.6139 298.2346 17.9259 30.1017 3.5988388452 1.6926 0.8179 -85.0920 0.000e+00
central VELA02 350 3.560 1.85714285714 0 F160W 301.3193 299.8760 17.8089 27.1721 3.2485875876 1.6812 0.9331 24.0506 0.000e+00
central VELA02 350 3.560 1.85714285714 1 F160W 299.4907 300.5211 17.9785 29.8965 3.574305954 1.7270 0.6052 -87.4279 0.000e+00
central VELA02 350 3.560 1.85714285714 5 F160W 300.2386 298.9480 17.9169 28.3135 3.385048806 1.7100 0.7787 84.7352 0.000e+00
central VELA02 350 3.560 1.85714285714 6 F160W 301.8361 299.3343 17.9356 29.7623 3.5582615388 1.7352 0.6357 -84.0175 0.000e+00
central VELA02 350 3.560 1.85714285714 7 F160W 298.9428 299.6585 17.9081 29.0512 3.4732452672 1.8165 0.6944 82.3924 0.000e+00
central VELA02 350 3.560 1.85714285714 8 F160W 298.9627 299.6606 17.9107 28.7347 3.4354057932 1.7934 0.7117 82.1165 0.000e+00
other VELA02 360 3.709 1.77777777778 0 F160W 278.1182 242.5660 20.3634 24.0326 2.8732415256 0.4137 0.3459 -78.3714 0.000e+00
other VELA02 360 3.709 1.77777777778 0 F160W 408.5043 178.6733 22.0282 3.0707 0.3671206092 2.8662 0.8151 66.2632 0.000e+00
central VELA02 360 3.709 1.77777777778 0 F160W 300.8223 300.9927 17.8461 30.3478 3.6282615768 1.5889 0.9512 6.7987 0.000e+00
central VELA02 360 3.709 1.77777777778 1 F160W 302.4225 301.1414 17.9400 39.2005 4.686654978 1.1895 0.5524 -85.7594 0.000e+00
central VELA02 360 3.709 1.77777777778 5 F160W 299.9348 299.6648 17.9291 33.1249 3.9602805444 1.4351 0.7155 -88.5675 0.000e+00
central VELA02 360 3.709 1.77777777778 6 F160W 301.2115 298.7757 17.9870 39.0672 4.6707181632 1.2773 0.6238 84.8790 0.000e+00
