sim,aexp,hid,difference_halo_gas,difference_stars_gas,difference_stars_halo,export_maxncellwside,export_ncells,export_ncellwside,export_ncellwside_actual,export_nstars,export_super_level,fake_halo,flag_bad_halo,halo_a[x],halo_a[y],halo_a[z],halo_b_to_a,halo_c_to_a,halo_descid,halo_dr,halo_good,halo_id,halo_jx,halo_jy,halo_jz,halo_m200b,halo_m200c,halo_m2500c,halo_m500c,halo_mvir,halo_mvir_all,halo_norm_dr,halo_np,halo_rs,halo_rs_klypin,halo_rvir,halo_scale,halo_spin,halo_spin_bullock,halo_t/|u|,halo_vmax,halo_voff,halo_vrms,halo_vx,halo_vy,halo_vz,halo_x,halo_xoff,halo_y,halo_z,mass_gas,mass_metals,mass_sfr,mass_ssfr,mass_stars,mass_stars_middle,mass_stars_young,metal_modification,prefix,scale,sim_resolution_pc,sim_resolution_pchcm,sim_width_mpchcm
VL03,0.330,5635,70.498,12.901,67.94,2.0,2674000.0,4.0,2.0,330000.0,-2.0,0.0,1.0,10.708,-11.694,41.446,0.889,0.78,5617.0,0.049,1.0,5635.0,-6061.0,-13180.0,-4980.0,219700000000.0,215900000000.0,108400000000.0,177800000000.0,222200000000.0,222200000000.0,5.026,236800.0,10.183,9.507,156.0,0.33,0.0,0.0,0.0,185.5,0.0,0.0,0.0,-0.0,0.0,19.813,24.847,20.776,18.494,1136000000000000.0,384600000.0,1.309,0.0,24730000000.0,398700000.0,13090000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.330_0005635_,0.33,35.976,76.294,40.0
VL03,0.340,5617,17.279,19.631,18.701,2.0,2475000.0,4.0,2.0,328600.0,-2.0,0.0,1.0,5.543,-13.537,40.37,0.847,0.751,789.0,0.045,1.0,5617.0,6698.0,-19560.0,292.9,210800000000.0,208000000000.0,111400000000.0,174000000000.0,212600000000.0,212600000000.0,4.979,244900.0,8.445,8.045,153.5,0.34,0.0,0.0,0.0,187.7,0.0,0.0,0.0,-0.0,0.0,19.824,24.368,20.76,18.539,1137000000000000.0,395400000.0,1.783,0.0,24690000000.0,407700000.0,17830000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.340_0005617_,0.34,37.111,76.294,40.0
VL03,0.350,789,22.074,23.665,22.947,2.0,2287000.0,4.0,2.0,337000.0,-2.0,0.0,1.0,3.93,-15.405,39.534,0.825,0.733,703.0,0.044,0.0,789.0,9514.0,-17770.0,2283.0,207900000000.0,204800000000.0,112800000000.0,169300000000.0,209300000000.0,209300000000.0,5.107,254100.0,7.898,7.428,152.4,0.35,0.0,0.0,0.0,188.0,0.0,0.0,0.0,-0.0,0.0,19.833,24.047,20.745,18.581,1136000000000000.0,430900000.0,0.942,0.0,25020000000.0,345300000.0,9417000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.350_0000789_,0.35,38.182,76.294,40.0
VL03,0.360,769,36.956,46.176,18.476,2.0,2648000.0,4.0,2.0,333800.0,-2.0,0.0,1.0,1.104,-16.996,39.252,0.805,0.737,1006.0,0.042,1.0,769.0,7302.0,-11080.0,5855.0,204300000000.0,200900000000.0,112800000000.0,169200000000.0,205700000000.0,205700000000.0,4.87,252300.0,7.23,7.07,151.3,0.36,0.0,0.0,0.0,186.8,0.0,0.0,0.0,-0.0,0.0,19.84,23.329,20.731,18.621,1136000000000000.0,451900000.0,0.236,0.0,25300000000.0,294500000.0,2362000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.360_0000769_,0.36,39.262,76.294,40.0
VL03,0.371,1006,27.561,32.111,40.804,2.0,2329000.0,4.0,2.0,339700.0,-2.0,0.0,1.0,1.74,-18.077,37.775,0.793,0.744,3868.0,0.037,1.0,1006.0,6769.0,-7791.0,7332.0,198700000000.0,194400000000.0,112000000000.0,168300000000.0,201600000000.0,201600000000.0,4.443,285500.0,6.659,6.525,150.0,0.371,0.0,0.0,0.0,186.9,0.0,0.0,0.0,-0.0,0.0,19.845,22.578,20.719,18.661,1136000000000000.0,490100000.0,0.096,0.0,25460000000.0,221200000.0,959700.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.371_0001006_,0.371,40.382,76.294,40.0
VL03,0.380,3868,37.754,23.816,33.46,2.0,2424000.0,4.0,2.0,346900.0,-2.0,0.0,1.0,7.651,-22.061,36.377,0.802,0.776,3741.0,0.038,1.0,3868.0,45050.0,5003.0,43710.0,212100000000.0,205900000000.0,113300000000.0,170500000000.0,214300000000.0,214300000000.0,4.627,337400.0,7.465,6.841,152.9,0.38,0.0,0.0,0.0,186.9,0.0,0.0,0.0,-0.0,0.0,19.847,19.164,20.71,18.697,1136000000000000.0,515700000.0,1.054,0.0,25610000000.0,197300000.0,10540000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.380_0003868_,0.38,41.432,76.294,40.0
VL03,0.391,3741,39.123,64.42,27.619,2.0,2624000.0,4.0,2.0,356500.0,-2.0,0.0,1.0,8.495,-19.282,41.844,0.828,0.786,3585.0,0.031,1.0,3741.0,89210.0,30710.0,86740.0,236500000000.0,226800000000.0,118300000000.0,179500000000.0,239100000000.0,239100000000.0,3.81,363400.0,8.753,7.723,158.3,0.391,0.0,0.0,0.001,186.7,0.0,0.0,-0.0,-0.0,0.0,19.847,20.04,20.703,18.734,1136000000000000.0,569900000.0,0.014,0.0,25720000000.0,137400000.0,143500.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.391_0003741_,0.391,42.591,76.294,40.0
VL03,0.400,3585,31.887,45.678,24.984,2.0,2776000.0,4.0,2.0,367800.0,-2.0,0.0,1.0,5.082,-22.916,43.962,0.853,0.803,3445.0,0.031,1.0,3585.0,71010.0,38660.0,82240.0,254900000000.0,238200000000.0,119800000000.0,180300000000.0,258600000000.0,258600000000.0,3.728,444800.0,9.411,8.259,162.2,0.4,0.0,0.0,0.001,187.2,0.0,0.0,-0.0,-0.0,0.0,19.845,17.484,20.699,18.765,1136000000000000.0,594400000.0,0.033,0.0,26000000000.0,136700000.0,327900.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.400_0003585_,0.4,43.628,76.294,40.0
VL03,0.410,3445,24.408,15.273,11.376,2.0,6019000.0,4.0,2.0,488800.0,-2.0,0.0,1.0,5.333,-22.481,44.256,0.893,0.887,3306.0,0.03,1.0,3445.0,35570.0,32920.0,60030.0,271300000000.0,249400000000.0,123700000000.0,187900000000.0,275900000000.0,275900000000.0,3.458,503600.0,10.184,8.796,165.4,0.41,0.0,0.0,0.001,186.9,0.0,0.0,-0.0,-0.0,0.0,19.84,13.608,20.696,18.795,1136000000000000.0,622000000.0,0.0,0.0,26510000000.0,100200000.0,0.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.410_0003445_,0.41,44.724,76.294,40.0
VL03,0.421,3306,15.048,28.67,15.94,2.0,6506000.0,4.0,2.0,526000.0,-2.0,0.0,1.0,3.218,-9.151,52.566,0.95,0.872,3188.0,0.028,1.0,3306.0,-23070.0,73030.0,128500.0,315000000000.0,281300000000.0,128400000000.0,193900000000.0,319100000000.0,319100000000.0,3.109,582600.0,13.519,10.449,173.2,0.421,0.0,0.0,0.001,187.3,0.0,0.0,-0.0,-0.0,0.0,19.831,16.552,20.694,18.824,1136000000000000.0,622900000.0,0.001,0.0,27160000000.0,116100000.0,13340.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.421_0003306_,0.421,45.861,76.294,40.0
VL03,0.431,3188,25.945,20.965,17.188,2.0,6822000.0,4.0,2.0,579700.0,-2.0,0.0,1.0,0.462,-21.177,49.308,0.954,0.847,3118.0,0.001,1.0,3188.0,-25260.0,76910.0,84330.0,311600000000.0,275100000000.0,132500000000.0,192300000000.0,314900000000.0,314900000000.0,0.138,597600.0,10.956,9.744,172.1,0.431,0.0,0.0,0.001,187.8,0.0,0.0,-0.0,-0.0,0.0,19.821,21.367,20.692,18.851,1136000000000000.0,625300000.0,0.287,0.0,27230000000.0,100900000.0,2870000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.431_0003188_,0.431,46.929,76.294,40.0
VL03,0.441,2268,27.514,43.87,21.321,2.0,6551000.0,4.0,2.0,649900.0,-2.0,0.0,1.0,-2.696,-28.026,49.737,0.932,0.816,1944.0,0.03,1.0,2268.0,130600.0,154400.0,26210.0,333400000000.0,289000000000.0,134200000000.0,197700000000.0,335700000000.0,335700000000.0,15.927,690700.0,12.446,10.274,175.4,0.441,0.0,0.0,0.001,187.9,0.0,0.0,-0.0,-0.0,0.0,19.808,24.082,20.69,18.879,1136000000000000.0,661600000.0,0.0,0.0,27280000000.0,73300000.0,0.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.441_0002268_,0.441,48.086,76.294,40.0
VL03,0.451,1944,5.798,21.776,23.361,2.0,6593000.0,4.0,2.0,691000.0,-2.0,0.0,1.0,3.029,-31.341,51.135,0.902,0.84,2668.0,0.03,1.0,1944.0,171300.0,257100.0,12930.0,360700000000.0,301900000000.0,135900000000.0,200900000000.0,361600000000.0,361600000000.0,15.013,759200.0,14.161,11.214,179.4,0.451,0.0,0.0,0.001,187.5,0.0,0.0,-0.0,-0.0,0.0,19.794,25.283,20.687,18.905,1136000000000000.0,709800000.0,0.0,0.0,28290000000.0,69970000.0,0.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.451_0001944_,0.451,49.149,76.294,40.0
VL03,0.461,2668,28.777,36.735,23.261,2.0,5848000.0,4.0,2.0,546100.0,-2.0,0.0,1.0,22.175,-35.381,52.907,0.908,0.88,2486.0,0.028,1.0,2668.0,284500.0,397200.0,53520.0,458800000000.0,374500000000.0,139800000000.0,226000000000.0,457200000000.0,457200000000.0,12.4,928500.0,77.255,15.909,193.6,0.461,0.0,0.0,0.001,187.2,0.0,0.0,-0.0,-0.0,0.0,19.779,27.53,20.684,18.932,1137000000000000.0,742900000.0,0.0,0.0,30170000000.0,74340000.0,0.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.461_0002668_,0.461,50.237,76.294,40.0
VL03,0.470,2486,11.211,39.755,34.634,2.0,6099000.0,4.0,2.0,573700.0,-2.0,0.0,1.0,27.098,-41.212,57.207,0.908,0.863,2059.0,0.034,1.0,2486.0,316200.0,477600.0,131900.0,567200000000.0,461400000000.0,150900000000.0,251100000000.0,562500000000.0,562500000000.0,16.265,1081000.0,162.8,22.237,207.0,0.47,0.0,0.0,0.001,187.1,0.0,0.0,-0.0,-0.0,0.0,19.765,24.181,20.681,18.955,1137000000000000.0,750000000.0,0.005,0.0,31330000000.0,72370000.0,53900.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.470_0002486_,0.47,51.251,76.294,40.0
VL03,0.481,2059,24.236,30.139,12.844,2.0,6094000.0,4.0,2.0,619000.0,-2.0,0.0,1.0,29.964,-47.657,62.581,0.895,0.818,2151.0,0.031,1.0,2059.0,252100.0,412800.0,180000.0,687400000000.0,539700000000.0,156000000000.0,277100000000.0,677000000000.0,677000000000.0,36.77,1338000.0,215.8,29.728,219.6,0.481,0.0,0.0,0.001,188.0,0.0,0.0,-0.0,-0.0,0.0,19.748,16.643,20.676,18.985,1136000000000000.0,742800000.0,0.0,0.0,35820000000.0,71500000.0,0.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.481_0002059_,0.481,52.407,76.294,40.0
