galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 250 2.171 3.0 8 F160W 301.8370 0.0798 301.5150 0.0712 19.5791 0.0031 34.1781 0.1055 34.1781 0.1055 1.0296 0.0032 0.8786 0.0017 76.5831 0.6958 0.337252931389 0.000e+00
central VELA02 260 2.301 2.84615384615 0 F160W 296.4594 0.0711 299.3091 0.0696 19.1072 0.0026 37.2484 0.0892 37.2484 0.0892 0.8681 0.0024 0.9152 0.0015 62.2734 0.8616 0.41899916991 0.000e+00
central VELA02 260 2.301 2.84615384615 1 F160W 304.3896 0.0606 300.7276 0.0229 19.2486 0.0021 33.6684 0.0697 33.6684 0.0697 1.0097 0.0022 0.4011 0.0008 -87.3527 0.0642 0.333135878171 0.000e+00
central VELA02 260 2.301 2.84615384615 5 F160W 295.4500 0.0695 301.3778 0.0658 19.1182 0.0024 36.9064 0.0756 36.9064 0.0756 0.7901 0.0018 0.8992 0.0013 72.9261 0.6885 0.447199065727 0.000e+00
central VELA02 260 2.301 2.84615384615 6 F160W 299.0053 0.0554 299.7170 0.0255 19.2042 0.0022 37.5456 0.0741 37.5456 0.0741 0.9466 0.0024 0.4018 0.0008 -89.6100 0.0525 0.334364479831 0.000e+00
central VELA02 260 2.301 2.84615384615 7 F160W 298.5003 0.0754 304.5927 0.0646 19.1438 0.0025 36.8001 0.0812 36.8001 0.0812 0.7982 0.0019 0.9101 0.0015 -74.6361 0.7467 0.439739274027 0.000e+00
central VELA02 260 2.301 2.84615384615 8 F160W 297.7655 0.0752 304.5023 0.0646 19.1377 0.0022 36.9477 0.0791 36.9477 0.0791 0.7857 0.0017 0.9182 0.0013 -74.4328 0.8380 0.447073917406 0.000e+00
central VELA02 270 2.434 2.7037037037 0 F160W 298.0100 0.0626 298.1617 0.0610 19.1902 0.0026 39.4041 0.0991 39.4041 0.0991 0.8473 0.0023 0.9449 0.0017 46.1262 1.4218 0.411563154632 0.000e+00
central VELA02 270 2.434 2.7037037037 1 F160W 303.9422 0.0683 300.0269 0.0221 19.2118 0.0020 44.4653 0.0666 44.4653 0.0666 0.6579 0.0017 0.3121 0.0005 88.7602 0.0413 0.30019211341 0.000e+00
central VELA02 270 2.434 2.7037037037 5 F160W 296.4304 0.0815 300.0876 0.0664 19.2028 0.0025 39.8768 0.0893 39.8768 0.0893 0.8361 0.0019 0.8406 0.0013 87.6637 0.4116 0.411956318542 0.000e+00
other VELA02 270 2.434 2.7037037037 6 F160W 365.2902 0.0508 296.3371 0.0434 21.4270 0.0066 16.4055 0.0704 16.4055 0.0704 0.3023 0.0049 0.5257 0.0026 -44.3077 0.3000 0.55945407783 0.000e+00
central VELA02 270 2.434 2.7037037037 6 F160W 299.4023 0.0630 299.8572 0.0254 19.3583 0.0021 41.5751 0.0609 41.5751 0.0609 0.8359 0.0018 0.3715 0.0007 88.0201 0.0556 0.266870423329 0.000e+00
