galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA02 310 2.982 2.22580645161 1 F160W 22.3701 22.6479 25.6612 2.8911 1.45764545673 0.7141 0.0357 -79.9495 3.141e-04
central VELA02 310 2.982 2.22580645161 5 F160W 22.4789 22.8142 25.3596 3.4337 1.73121552515 0.4506 0.8422 -45.0121 4.695e-04
central VELA02 310 2.982 2.22580645161 6 F160W 23.1708 22.9850 25.5168 3.9735 2.00337387925 0.6456 0.0371 89.6951 3.225e-04
central VELA02 310 2.982 2.22580645161 7 F160W 22.8499 22.3625 25.4535 3.2241 1.62553862441 0.0735 0.8589 -24.8222 4.500e-04
central VELA02 310 2.982 2.22580645161 8 F160W 22.6436 22.3042 25.5534 3.0955 1.5607006023 0.2952 0.7687 16.4131 6.070e-04
central VELA02 320 3.124 2.125 0 F160W 22.9440 20.3869 24.7921 5.4330 2.75772364951 0.3964 0.5379 -2.2094 5.899e-04
other VELA02 320 3.124 2.125 1 F160W 25.1726 22.3510 25.0246 4.5651 2.31718833653 0.2375 0.4699 -80.5730 4.255e-04
central VELA02 320 3.124 2.125 1 F160W 27.6391 37.1762 26.2378 4.2216 2.1428319821 0.4575 0.4297 5.9192 4.255e-04
central VELA02 320 3.124 2.125 5 F160W 20.3446 21.0225 24.7015 5.7907 2.93928774843 0.4732 0.4925 -31.9176 3.958e-04
central VELA02 320 3.124 2.125 6 F160W 24.0530 22.3824 25.1112 3.4779 1.76533905405 0.1878 0.8982 43.4771 5.056e-04
central VELA02 320 3.124 2.125 7 F160W 20.0825 23.9719 24.8488 5.8456 2.96715430988 0.2955 0.4301 72.4733 5.306e-04
central VELA02 320 3.124 2.125 8 F160W 19.2003 23.9247 24.7584 6.9801 3.54301248775 0.1620 0.4070 77.0557 5.533e-04
central VELA02 330 3.268 2.0303030303 0 F160W 23.1110 26.4855 24.3822 5.9630 3.04375021883 0.2816 0.5477 15.0777 9.169e-04
central VELA02 330 3.268 2.0303030303 1 F160W 21.9083 23.4715 24.5749 3.8358 1.95794349981 0.7031 0.5613 -89.3653 9.120e-04
central VELA02 330 3.268 2.0303030303 5 F160W 24.2961 25.8861 24.3200 5.0790 2.59252177787 0.7573 0.5899 -27.5361 7.045e-04
central VELA02 330 3.268 2.0303030303 6 F160W 22.4617 23.6496 24.4834 4.8088 2.45460104851 0.4936 0.5473 -54.5761 5.433e-04
central VELA02 330 3.268 2.0303030303 7 F160W 27.1801 23.8627 24.2661 6.7084 3.42423175717 0.5416 0.4679 -78.4241 5.160e-04
central VELA02 330 3.268 2.0303030303 8 F160W 27.6644 24.6979 24.3097 7.1046 3.62646785254 0.4129 0.4077 -76.9294 6.619e-04
central VELA02 340 3.413 1.94117647059 0 F160W 24.0265 23.5987 24.2128 2.8619 1.46744878205 0.9822 0.7915 25.2811 5.433e-04
central VELA02 340 3.413 1.94117647059 1 F160W 24.2201 23.6902 24.4105 3.0523 1.56507701788 1.2026 0.6506 -81.7248 3.773e-04
central VELA02 340 3.413 1.94117647059 5 F160W 23.6333 23.6709 24.2658 2.6797 1.37402512361 0.9723 0.8812 12.8548 4.534e-04
central VELA02 340 3.413 1.94117647059 6 F160W 24.2111 24.0083 24.2857 2.9628 1.519185594 0.5866 0.5438 -87.9830 4.935e-04
central VELA02 340 3.413 1.94117647059 7 F160W 23.8421 24.0783 24.2149 2.6994 1.3841263644 1.1087 0.8775 -55.4605 4.525e-04
central VELA02 340 3.413 1.94117647059 8 F160W 23.9399 23.9751 24.2032 2.8027 1.43709378436 0.9047 0.8560 -63.5314 4.076e-04
central VELA02 350 3.560 1.85714285714 0 F160W 24.6792 24.3747 24.0111 2.6101 1.34300987042 2.1009 0.7000 35.9867 4.391e-04
central VELA02 350 3.560 1.85714285714 1 F160W 24.3398 24.5762 24.1829 2.8390 1.46078886714 1.5684 0.6223 86.0489 1.706e-04
central VELA02 350 3.560 1.85714285714 5 F160W 24.5045 24.0812 24.0955 2.8289 1.45559197825 1.3276 0.7943 40.5937 3.151e-04
central VELA02 350 3.560 1.85714285714 6 F160W 24.8983 24.4389 24.1761 3.0031 1.54522544802 1.5381 0.4897 -80.0242 3.661e-04
central VELA02 350 3.560 1.85714285714 7 F160W 24.2323 24.1944 24.1263 2.8686 1.47601935339 1.0829 0.7483 -69.3887 3.129e-04
central VELA02 350 3.560 1.85714285714 8 F160W 24.2469 24.0857 24.1549 2.6054 1.34059151619 0.7488 0.8714 -77.5268 3.673e-04
central VELA02 360 3.709 1.77777777778 0 F160W 25.4425 24.8792 23.9225 3.3193 1.71217298596 0.7715 0.8849 -5.7748 6.897e-04
central VELA02 360 3.709 1.77777777778 1 F160W 25.6095 25.6025 24.0752 3.7731 1.94625369606 0.9804 0.4871 -89.9961 4.955e-04
central VELA02 360 3.709 1.77777777778 5 F160W 25.1616 25.4230 24.0477 3.3159 1.71041918601 0.8086 0.7778 87.7730 6.179e-04
central VELA02 360 3.709 1.77777777778 6 F160W 25.7891 25.5016 24.1241 3.4866 1.79847025965 1.0589 0.6371 82.2699 5.539e-04
central VELA02 360 3.709 1.77777777778 7 F160W 25.1952 25.4995 24.1046 3.8861 2.004541753 0.6156 0.5761 86.1345 4.895e-04
central VELA02 360 3.709 1.77777777778 8 F160W 25.1979 25.4869 24.0267 3.9351 2.02981710513 0.7892 0.6365 -86.4195 4.714e-04
central VELA02 370 3.859 1.7027027027 0 F160W 25.7923 25.6700 23.7839 4.2943 2.21846546974 1.4925 0.9176 0.2541 4.633e-04
central VELA02 370 3.859 1.7027027027 1 F160W 26.1886 25.9615 24.1546 5.5395 2.86174451474 0.5193 0.4812 73.8151 5.136e-04
central VELA02 370 3.859 1.7027027027 5 F160W 25.6389 25.6759 24.0617 4.7365 2.4469090882 0.5243 0.5341 88.2135 4.874e-04
central VELA02 370 3.859 1.7027027027 6 F160W 26.2075 25.5772 24.0814 4.6533 2.40392738522 0.5446 0.6007 -76.2882 5.770e-04
central VELA02 370 3.859 1.7027027027 7 F160W 25.5961 25.6223 23.9907 4.0726 2.10393369631 0.9426 0.5254 -84.0156 4.947e-04
central VELA02 370 3.859 1.7027027027 8 F160W 25.6178 25.7591 23.9689 3.7693 1.94724679112 1.4170 0.7030 -78.8643 4.374e-04
central VELA02 380 4.010 1.63157894737 0 F160W 27.0381 26.2391 23.7835 4.3649 2.25624815525 1.1535 0.8181 47.1607 6.858e-04
central VELA02 380 4.010 1.63157894737 1 F160W 25.4167 26.9027 24.0634 5.3582 2.76969205834 0.7589 0.4179 75.4697 4.870e-04
central VELA02 380 4.010 1.63157894737 5 F160W 26.7570 26.6246 24.0306 4.8374 2.50048679837 0.6675 0.4571 -85.6514 4.908e-04
central VELA02 380 4.010 1.63157894737 6 F160W 26.9994 26.9734 23.9996 4.9491 2.55822533051 0.6132 0.5473 -74.5778 4.752e-04
central VELA02 380 4.010 1.63157894737 7 F160W 26.2943 26.7715 23.9671 4.8191 2.49102739695 0.7202 0.4559 -88.8268 3.602e-04
central VELA02 380 4.010 1.63157894737 8 F160W 26.6927 26.7515 23.9635 4.7410 2.4506569461 1.0979 0.4360 -89.2401 3.107e-04
other VELA02 390 4.162 1.5641025641 0 F160W 27.4182 27.2348 23.5897 4.8597 2.51118701105 0.9198 0.9553 62.9227 9.216e-04
central VELA02 390 4.162 1.5641025641 0 F160W 52.3023 48.4273 25.1541 2.0743 1.07186764965 0.7593 0.6409 -10.4876 9.216e-04
central VELA02 390 4.162 1.5641025641 1 F160W 28.4455 27.4509 23.8292 6.4335 3.32442777036 0.4930 0.3368 82.6422 4.860e-04
central VELA02 390 4.162 1.5641025641 5 F160W 26.9043 27.5273 23.7388 5.2974 2.73736281506 0.6631 0.4259 -85.4567 4.761e-04
central VELA02 390 4.162 1.5641025641 6 F160W 27.1673 27.3041 23.6599 5.9555 3.07742746349 0.6913 0.4264 -81.2277 4.747e-04
central VELA02 390 4.162 1.5641025641 7 F160W 26.8914 27.5822 23.8226 5.8909 3.04404625047 0.4674 0.4047 87.4944 3.531e-04
central VELA02 390 4.162 1.5641025641 8 F160W 27.0324 27.5701 23.7880 5.8370 3.01619412382 0.3961 0.4218 89.6627 3.108e-04
central VELA02 400 4.316 1.5 0 F160W 28.9534 29.1335 23.0851 6.9240 3.57354131358 0.4324 0.8283 -22.7620 1.036e-03
central VELA02 400 4.316 1.5 1 F160W 28.9172 28.0760 23.4102 7.0709 3.64935778079 0.2158 0.3143 80.7622 7.804e-04
other VELA02 400 4.316 1.5 1 F160W 23.6228 16.5579 24.8847 2.7267 1.40727543324 0.8751 0.7124 14.9046 7.804e-04
other VELA02 400 4.316 1.5 5 F160W 27.5985 28.1996 23.3834 5.5016 2.83942733836 0.3911 0.3964 84.3240 7.304e-04
central VELA02 400 4.316 1.5 5 F160W 38.6995 18.7836 24.6400 3.5397 1.82687235524 9.2629 0.2910 -18.0975 7.304e-04
central VELA02 400 4.316 1.5 6 F160W 27.0473 27.1958 23.0993 6.5864 3.39930278853 0.4796 0.5302 -82.9993 6.588e-04
central VELA02 400 4.316 1.5 7 F160W 27.6865 28.1181 23.4028 5.9537 3.07276038687 0.9059 0.3297 81.6276 6.743e-04
other VELA02 400 4.316 1.5 7 F160W 39.2921 16.7694 24.9591 2.2131 1.14220165816 0.8508 0.6710 -73.7812 6.743e-04
central VELA02 400 4.316 1.5 8 F160W 27.6832 28.1344 23.3801 6.0105 3.10207539937 0.8708 0.3188 85.6064 5.756e-04
other VELA02 400 4.316 1.5 8 F160W 39.0820 16.8036 24.8954 2.3264 1.20067685036 2.0415 0.4827 69.3630 5.756e-04
central VELA02 410 4.471 1.43902439024 0 F160W 28.9297 30.1897 22.9778 5.9294 3.05385882786 0.8594 0.8557 76.8354 1.099e-03
other VELA02 410 4.471 1.43902439024 0 F160W 18.1855 11.6836 24.3102 4.3317 2.23098463329 1.5891 0.4123 -16.5619 1.099e-03
other VELA02 410 4.471 1.43902439024 1 F160W 29.7505 29.4126 23.1483 6.7093 3.45553597897 0.7155 0.3765 83.6672 1.016e-03
central VELA02 410 4.471 1.43902439024 1 F160W 23.1829 53.4163 24.6129 2.2440 1.15574243763 0.4890 0.9282 26.6851 1.016e-03
other VELA02 410 4.471 1.43902439024 5 F160W 29.2600 29.3762 23.1856 6.7913 3.4977689914 0.9108 0.3725 89.0143 9.522e-04
central VELA02 410 4.471 1.43902439024 5 F160W 11.5371 50.8374 24.5854 3.7653 1.9392678255 1.1069 0.5034 -16.1289 9.522e-04
central VELA02 410 4.471 1.43902439024 6 F160W 28.8495 30.2825 22.9062 6.3497 3.27032876838 0.6819 0.6493 -69.7487 1.144e-03
other VELA02 410 4.471 1.43902439024 7 F160W 29.5620 29.2384 23.1552 6.2624 3.22536606125 0.5287 0.4000 86.2932 1.141e-03
central VELA02 410 4.471 1.43902439024 7 F160W 8.8425 54.0215 23.6748 41.9538 21.6077482531 18.1216 0.2056 -20.0893 1.141e-03
other VELA02 410 4.471 1.43902439024 8 F160W 29.3081 29.3193 23.1841 6.3401 3.26538441571 0.5888 0.3733 86.6132 1.338e-03
central VELA02 410 4.471 1.43902439024 8 F160W 8.8323 53.4711 24.8529 2.1424 1.10341470516 0.5695 0.9020 -41.7588 1.338e-03
central VELA02 420 4.626 1.38095238095 0 F160W 29.2773 28.5007 22.8008 6.0960 3.13048787803 0.7627 0.7138 -11.0928 8.317e-04
other VELA02 420 4.626 1.38095238095 1 F160W 29.6565 29.5501 23.2247 5.3057 2.7246439525 1.0643 0.4486 -89.1569 9.411e-04
central VELA02 420 4.626 1.38095238095 1 F160W 22.4981 40.4567 24.4080 2.6358 1.35356626458 4.1551 0.5116 16.4467 9.411e-04
central VELA02 420 4.626 1.38095238095 5 F160W 29.4473 30.2479 23.0980 6.0374 3.10039493353 0.8687 0.5796 66.1681 7.737e-04
central VELA02 420 4.626 1.38095238095 6 F160W 29.7063 29.8805 22.6997 6.3921 3.28254454809 0.7878 0.5651 -81.1142 8.204e-04
other VELA02 420 4.626 1.38095238095 7 F160W 29.7255 29.4846 23.2273 5.3595 2.75227194592 0.7633 0.4419 84.8267 6.786e-04
central VELA02 420 4.626 1.38095238095 7 F160W 20.9923 40.9539 24.5144 1.5970 0.820109767259 6.9681 0.5911 54.2579 6.786e-04
other VELA02 420 4.626 1.38095238095 8 F160W 29.6477 29.5097 23.2532 5.3885 2.76716435872 0.7180 0.4870 85.8255 7.848e-04
central VELA02 420 4.626 1.38095238095 8 F160W 21.3039 40.7784 24.6857 1.6250 0.834488648589 1.7275 0.9576 78.4874 7.848e-04
central VELA02 430 4.783 1.32558139535 0 F160W 31.0317 29.5157 22.4717 5.1774 2.64878750524 1.1227 0.8638 -9.4976 6.097e-04
central VELA02 430 4.783 1.32558139535 1 F160W 29.2783 30.2674 22.7299 5.0451 2.58110206719 1.1685 0.6203 -82.9376 7.357e-04
central VELA02 430 4.783 1.32558139535 5 F160W 30.5761 29.9340 22.5649 4.8963 2.50497513461 1.0268 0.6446 86.4950 1.001e-03
other VELA02 430 4.783 1.32558139535 5 F160W 3.1153 47.3544 25.1130 3.0502 1.5604997969 0.7353 0.8373 73.4170 1.001e-03
central VELA02 430 4.783 1.32558139535 6 F160W 31.5523 29.9988 22.4922 4.9526 2.53377853719 0.9254 0.7739 80.3207 8.442e-04
central VELA02 430 4.783 1.32558139535 7 F160W 29.7187 30.3119 22.5580 5.5991 2.86453164148 0.9237 0.5015 88.8733 8.958e-04
central VELA02 430 4.783 1.32558139535 8 F160W 29.8268 30.2921 22.5804 5.4413 2.78380025732 0.9286 0.4971 82.0729 1.006e-03
central VELA02 440 4.941 1.27272727273 0 F160W 31.5970 31.4570 22.3940 4.8501 2.47001735342 1.0218 0.9049 -46.1427 8.167e-04
central VELA02 440 4.941 1.27272727273 1 F160W 31.2825 31.5497 22.6817 5.1815 2.63878990469 0.9553 0.6044 -83.7868 8.114e-04
central VELA02 440 4.941 1.27272727273 5 F160W 31.7252 31.4514 22.5655 4.9623 2.52715760765 1.1275 0.6275 80.1881 9.582e-04
other VELA02 440 4.941 1.27272727273 5 F160W 30.6481 16.0511 24.7083 3.7295 1.89932779109 2.4354 0.8887 40.3850 9.582e-04
central VELA02 440 4.941 1.27272727273 6 F160W 31.4997 31.4133 22.4878 4.9810 2.53668098335 0.8274 0.7944 65.8268 9.783e-04
central VELA02 440 4.941 1.27272727273 7 F160W 31.4371 31.5516 22.6449 5.0351 2.56423256761 1.1226 0.5982 83.9170 1.025e-03
central VELA02 440 4.941 1.27272727273 8 F160W 31.4490 31.5386 22.6516 5.0869 2.59061282759 1.1058 0.5969 84.9974 9.969e-04
central VELA02 450 5.100 1.22222222222 0 F160W 32.2238 32.3864 22.3503 4.7830 2.42278223497 0.7125 0.9723 -83.5167 1.057e-03
central VELA02 450 5.100 1.22222222222 1 F160W 32.1580 32.4842 22.6274 5.4626 2.76702702002 0.9217 0.6066 -76.9430 8.535e-04
central VELA02 450 5.100 1.22222222222 5 F160W 32.3559 32.4273 22.4628 4.8777 2.47075160098 1.0870 0.6921 89.9854 9.668e-04
central VELA02 450 5.100 1.22222222222 6 F160W 32.4457 32.3446 22.3585 4.7554 2.4088017228 0.9117 0.8230 78.9713 9.729e-04
central VELA02 450 5.100 1.22222222222 7 F160W 32.4772 32.3346 22.6117 5.2111 2.63963213562 1.0713 0.6319 -87.8615 9.106e-04
central VELA02 450 5.100 1.22222222222 8 F160W 32.4613 32.3353 22.5985 5.2025 2.63527588907 0.9620 0.6407 89.0793 9.538e-04
central VELA02 460 5.259 1.17391304348 0 F160W 33.2211 32.5987 22.1217 6.1429 3.09248238822 0.7084 0.8030 -2.4152 9.752e-04
central VELA02 460 5.259 1.17391304348 1 F160W 32.1968 32.5952 22.4379 6.3612 3.20237981539 0.5515 0.4609 -69.9877 1.023e-03
