galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
bulge VELA28 280 2.568 2.57142857143 7 F160W 267.1268 363.0138 20.8828 51.8334 6.1969939704 0.6240 0.3550 28.6589 0.000e+00
other VELA28 280 2.568 2.57142857143 8 F160W 244.5702 375.1754 20.0827 14.5980 1.745278488 0.1563 0.4646 3.8068 0.000e+00
other VELA28 280 2.568 2.57142857143 8 F160W 168.8183 533.1096 23.1438 7.5563 0.9034010028 1.1394 0.6239 42.2811 0.000e+00
disk VELA28 280 2.568 2.57142857143 8 F160W 297.5120 300.5821 22.6367 3.8940 0.465551064 1.0000 0.7237 82.5198 0.000e+00
bulge VELA28 280 2.568 2.57142857143 8 F160W 303.5032 300.2150 21.3116 11.4612 1.3702552272 2.1004 0.8078 62.6867 0.000e+00
disk VELA28 290 2.704 2.44827586207 0 F160W 301.2049 303.4659 22.7189 4.5769 0.5471958564 1.0000 0.5384 76.3108 0.000e+00
other VELA28 290 2.704 2.44827586207 0 F160W 394.3173 245.4673 20.7346 12.7825 1.52822457 1.5999 0.6092 30.3752 0.000e+00
other VELA28 290 2.704 2.44827586207 0 F160W 225.8376 480.3625 23.2536 5.9727 0.7140721212 1.2143 0.8326 20.2638 0.000e+00
bulge VELA28 290 2.704 2.44827586207 0 F160W 300.8593 298.8110 20.5971 12.3828 1.4804380368 1.4332 0.7573 75.7069 0.000e+00
disk VELA28 290 2.704 2.44827586207 1 F160W 299.1212 300.6463 20.7578 9.9284 1.1869997904 1.0000 0.5673 83.1975 0.000e+00
other VELA28 290 2.704 2.44827586207 1 F160W 488.9695 559.2237 23.3202 6.2185 0.743458986 0.9749 0.8351 6.8070 0.000e+00
bulge VELA28 290 2.704 2.44827586207 1 F160W 233.6845 245.1227 20.0372 41.6402 4.9783357512 2.7453 0.4563 -19.0273 0.000e+00
other VELA28 290 2.704 2.44827586207 5 F160W 369.3922 251.3279 21.2141 13.7625 1.64538945 0.3724 0.3287 5.5013 0.000e+00
other VELA28 290 2.704 2.44827586207 5 F160W 291.7440 525.3408 23.2855 6.5843 0.7871925708 1.1491 0.7518 -2.0787 0.000e+00
disk VELA28 290 2.704 2.44827586207 5 F160W 299.1332 301.5711 21.7966 6.2780 0.750572568 1.0000 0.6748 51.2839 0.000e+00
bulge VELA28 290 2.704 2.44827586207 5 F160W 302.6158 299.4991 20.3066 36.1226 4.3186735656 3.2699 0.4125 88.0090 0.000e+00
disk VELA28 290 2.704 2.44827586207 6 F160W 301.6817 299.7656 21.4397 7.7800 0.93014568 1.0000 0.5472 -80.4493 0.000e+00
other VELA28 290 2.704 2.44827586207 6 F160W 407.6310 258.5614 20.2656 23.2166 2.7756838296 3.1709 0.6671 19.5444 0.000e+00
other VELA28 290 2.704 2.44827586207 6 F160W 131.7083 574.2813 23.2571 6.3933 0.7643573748 1.2341 0.9080 14.1159 0.000e+00
bulge VELA28 290 2.704 2.44827586207 6 F160W 300.3636 301.3893 20.9510 26.3946 3.1556327976 3.2496 0.3009 84.8953 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 364.4622 468.0286 23.2801 6.4340 0.769223304 1.1465 0.7583 3.2443 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 298.8990 227.6361 21.4327 88.7355 10.608861438 0.0459 0.3553 -20.8069 0.000e+00
disk VELA28 290 2.704 2.44827586207 7 F160W 298.8048 301.8771 21.4646 7.7086 0.9216093816 1.0000 0.6812 65.7204 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 333.0935 282.2678 21.4372 11.8838 1.4207795928 0.3445 0.4184 0.3834 0.000e+00
bulge VELA28 290 2.704 2.44827586207 7 F160W 303.5106 299.3348 20.4253 35.2163 4.2103199628 3.6435 0.6398 -75.3645 0.000e+00
other VELA28 290 2.704 2.44827586207 8 F160W 353.0735 475.5864 23.2690 6.5210 0.779624676 1.1476 0.7603 2.4514 0.000e+00
