galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
other VELA28 300 2.842 2.33333333333 0 F160W 178.5167 365.2537 20.3785 12.5375 1.49893335 1.8000 0.9049 -64.8378 0.000e+00
other VELA28 300 2.842 2.33333333333 0 F160W 378.3867 68.5045 23.3148 8.5685 1.024415586 1.4254 0.7928 59.3078 0.000e+00
central VELA28 300 2.842 2.33333333333 0 F160W 299.8486 301.0710 20.9128 5.7851 0.6916434156 0.7707 0.8987 -19.0572 0.000e+00
other VELA28 300 2.842 2.33333333333 1 F160W 237.9090 258.9929 20.3752 17.9313 2.1437945028 1.5734 0.7359 -74.9403 0.000e+00
other VELA28 300 2.842 2.33333333333 1 F160W 532.2907 470.4475 23.4321 7.2472 0.8664462432 1.2877 0.8013 41.3784 0.000e+00
central VELA28 300 2.842 2.33333333333 1 F160W 300.6904 300.6459 21.3037 7.1613 0.8561763828 0.6536 0.5341 -86.6884 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 559.0154 66.0782 22.5897 15.9764 1.9100744784 0.3752 0.2254 8.6774 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 313.1948 410.5761 23.2830 8.0635 0.964039806 1.4055 0.8927 36.3049 0.000e+00
central VELA28 300 2.842 2.33333333333 5 F160W 301.1974 300.6275 21.1418 6.7006 0.8010969336 1.0490 0.4285 79.1145 0.000e+00
other VELA28 300 2.842 2.33333333333 5 F160W 389.3051 282.8048 20.3794 15.5581 1.8600642036 1.9093 0.7598 89.5798 0.000e+00
other VELA28 300 2.842 2.33333333333 6 F160W 435.9026 267.3960 20.5360 13.9088 1.6628804928 1.3795 0.7902 67.2412 0.000e+00
other VELA28 300 2.842 2.33333333333 6 F160W 97.6033 507.5771 23.3692 8.1627 0.9758997612 1.3551 0.7568 -83.9727 0.000e+00
central VELA28 300 2.842 2.33333333333 6 F160W 301.1340 300.4254 21.1958 6.5600 0.78428736 0.7878 0.5162 80.7815 0.000e+00
other VELA28 300 2.842 2.33333333333 7 F160W 410.3861 366.7537 23.7061 5.5733 0.6663214548 1.0105 0.8247 30.2444 0.000e+00
other VELA28 300 2.842 2.33333333333 7 F160W 315.0529 258.3630 21.0848 63.7040 7.616195424 0.0356 0.0991 18.4967 0.000e+00
central VELA28 300 2.842 2.33333333333 7 F160W 340.5841 314.7469 19.7569 42.7313 5.1087833028 2.5429 0.4192 -75.3487 0.000e+00
other VELA28 300 2.842 2.33333333333 8 F160W 370.9308 186.7592 22.7277 13.3640 1.597746384 0.2225 0.3032 3.6640 0.000e+00
other VELA28 300 2.842 2.33333333333 8 F160W 395.6439 370.8947 23.6681 5.7358 0.6857493048 1.0386 0.8370 32.9674 0.000e+00
central VELA28 300 2.842 2.33333333333 8 F160W 349.0893 310.4154 19.4981 58.0836 6.9442428816 3.1208 0.4450 -81.1544 0.000e+00
central VELA28 310 2.982 2.22580645161 0 F160W 299.8820 301.3410 19.9758 11.7772 1.4080349232 1.9204 0.9268 -35.3291 0.000e+00
other VELA28 310 2.982 2.22580645161 0 F160W 420.3809 141.0583 21.5783 26.5178 3.1703620968 1.9345 0.4324 -63.8576 0.000e+00
other VELA28 310 2.982 2.22580645161 0 F160W 106.5457 418.4298 19.6922 572.9042 68.4941345352 7.2559 0.6570 86.1140 0.000e+00
central VELA28 310 2.982 2.22580645161 1 F160W 299.1354 299.4038 20.0608 18.5390 2.216448684 2.0147 0.6506 86.4722 0.000e+00
other VELA28 310 2.982 2.22580645161 1 F160W 216.6356 80.6890 20.0495 471.6010 56.382729156 7.8437 0.6828 -38.3414 0.000e+00
other VELA28 310 2.982 2.22580645161 5 F160W 442.0841 174.3049 19.0252 3292.7566 393.66880807 11.2058 0.4962 81.6669 0.000e+00
central VELA28 310 2.982 2.22580645161 5 F160W 300.5412 300.9608 20.0155 17.0250 2.0354409 2.2105 0.5407 71.9785 0.000e+00
other VELA28 310 2.982 2.22580645161 6 F160W 150.1428 402.5564 23.5949 7.3528 0.8790713568 1.2354 0.8221 68.8912 0.000e+00
central VELA28 310 2.982 2.22580645161 6 F160W 301.2485 299.1498 20.0260 17.6016 2.1043768896 1.9724 0.5331 68.0486 0.000e+00
other VELA28 310 2.982 2.22580645161 6 F160W 526.3462 93.9721 21.5541 40.4843 4.8401409708 1.8136 0.3818 -31.4553 0.000e+00
central VELA28 310 2.982 2.22580645161 7 F160W 299.2709 301.4821 19.7985 22.0899 2.6409800844 2.6987 0.6329 75.3069 0.000e+00
other VELA28 310 2.982 2.22580645161 8 F160W 368.7240 247.0356 19.0305 964.1384 115.26853055 7.8982 0.7149 77.0692 0.000e+00
central VELA28 310 2.982 2.22580645161 8 F160W 299.4770 301.5500 20.1448 15.0114 1.7947029384 1.8121 0.6007 71.6459 0.000e+00
other VELA28 320 3.124 2.125 0 F160W 199.4967 329.3990 17.5686 10166.4648 1215.46186563 15.9927 0.4299 85.6417 0.000e+00
central VELA28 320 3.124 2.125 0 F160W 300.6969 300.2491 19.7595 8.9651 1.0718314956 1.1960 0.9158 60.5217 0.000e+00
other VELA28 320 3.124 2.125 0 F160W 42.4726 419.9360 21.6419 4.1015 0.490358934 1.5864 0.7511 -86.7563 0.000e+00
central VELA28 320 3.124 2.125 1 F160W 298.5485 300.2676 19.1475 28.9868 3.4655458608 2.4479 0.5242 -87.6010 0.000e+00
central VELA28 320 3.124 2.125 5 F160W 302.5320 300.5529 18.9872 38.9225 4.65341841 3.0766 0.4771 82.3325 0.000e+00
other VELA28 320 3.124 2.125 6 F160W 204.3334 275.5957 16.5059 23192.2734 2772.77543861 13.3935 0.5355 -77.1571 0.000e+00
other VELA28 320 3.124 2.125 6 F160W 28.0088 566.3235 21.5996 4.5147 0.5397594732 1.6946 0.7249 -62.9603 0.000e+00
central VELA28 320 3.124 2.125 6 F160W 300.6355 300.4179 19.7685 12.7092 1.5194611152 1.1539 0.5333 79.1351 0.000e+00
central VELA28 320 3.124 2.125 7 F160W 300.6857 301.4022 19.2712 27.1152 3.2417848512 2.2340 0.5372 78.0070 0.000e+00
other VELA28 320 3.124 2.125 7 F160W 181.6497 597.3579 21.6492 5.3127 0.6351651612 1.9367 0.7501 -86.3762 0.000e+00
other VELA28 320 3.124 2.125 7 F160W 241.4786 278.2286 20.8342 16.3526 1.9550514456 5.2050 0.7989 86.1366 0.000e+00
central VELA28 320 3.124 2.125 8 F160W 301.2008 301.2085 19.1639 31.2156 3.7320122736 2.2165 0.5526 82.2013 0.000e+00
other VELA28 320 3.124 2.125 8 F160W 290.1256 364.9707 17.3336 18348.7617 2193.70455381 5.7723 0.0345 -22.9004 0.000e+00
other VELA28 330 3.268 2.0303030303 0 F160W 129.0051 166.0776 21.7752 8.2987 0.9921593772 2.8511 0.8359 -84.9280 0.000e+00
central VELA28 330 3.268 2.0303030303 0 F160W 300.0388 300.8503 19.2928 13.2853 1.5883373268 2.1856 0.9245 -63.0446 0.000e+00
other VELA28 330 3.268 2.0303030303 1 F160W 266.6911 450.6729 21.9682 5.7874 0.6919183944 2.7144 0.9385 53.5000 0.000e+00
other VELA28 330 3.268 2.0303030303 1 F160W 294.4634 278.6216 16.4664 152431.7812 18224.1340331 17.0747 0.4195 87.3118 0.000e+00
central VELA28 330 3.268 2.0303030303 1 F160W 299.5949 299.6550 19.6832 15.9267 1.9041325452 1.7097 0.5218 -87.6425 0.000e+00
other VELA28 330 3.268 2.0303030303 5 F160W 92.4913 441.4750 22.0027 6.2313 0.7449893028 2.6136 0.8219 87.8876 0.000e+00
other VELA28 330 3.268 2.0303030303 5 F160W 326.5787 307.2454 17.1314 7201.8999 861.030344444 8.0366 0.2208 -63.0488 0.000e+00
central VELA28 330 3.268 2.0303030303 5 F160W 299.0963 301.0061 19.8470 13.3868 1.6004722608 1.2943 0.4982 82.0268 0.000e+00
other VELA28 330 3.268 2.0303030303 6 F160W 468.0340 412.4151 24.4049 5.2437 0.6269157972 0.8636 0.9329 70.9010 0.000e+00
other VELA28 330 3.268 2.0303030303 6 F160W 274.7169 282.4677 19.2496 270.0591 32.2871857596 6.0061 0.8305 9.2607 0.000e+00
central VELA28 330 3.268 2.0303030303 6 F160W 300.0837 299.7348 19.5856 12.4732 1.4912458992 2.1319 0.6551 89.0250 0.000e+00
other VELA28 330 3.268 2.0303030303 7 F160W 82.5340 447.7927 21.9951 5.9495 0.711298422 2.5413 0.8533 86.1002 0.000e+00
