sim	aexp	hid	difference_halo_gas	difference_stars_gas	difference_stars_halo	export_maxncellwside	export_ncells	export_ncellwside	export_ncellwside_actual	export_nstars	export_super_level	fake_halo	flag_bad_halo	halo_a[x]	halo_a[y]	halo_a[z]	halo_b_to_a	halo_c_to_a	halo_descid	halo_dr	halo_good	halo_id	halo_jx	halo_jy	halo_jz	halo_m200b	halo_m200c	halo_m2500c	halo_m500c	halo_mvir	halo_mvir_all	halo_norm_dr	halo_np	halo_rs	halo_rs_klypin	halo_rvir	halo_scale	halo_spin	halo_spin_bullock	halo_t/|u|	halo_vmax	halo_voff	halo_vrms	halo_vx	halo_vy	halo_vz	halo_x	halo_xoff	halo_y	halo_z	mass_gas	mass_metals	mass_sfr	log(mass_ssfr)[Gyr^-1]	mass_stars	mass_stars_middle	mass_stars_young	metal_modification	prefix	scale	sim_resolution_pc	sim_resolution_pchcm	sim_width_mpchcm
VELA12MRP	0.42792	9604	50.405	42.884	18.227	2	13980000	4	2	1597000	-2	0	1	7.893	-9.377	63.215	0.8	0.683	10370	0.005	1	9604	-34780	52840	-16320	3.926E+11	3.82E+11	2.361E+11	3.287E+11	3.936E+11	3.936E+11	6.009	2016000	8.134	8.724	185.5	0.428	0	0	0	213.7	0	0	0	0	0	20.166	28.012	19.929	21.429	1.139E+15	188200000	2.681	-0.936066541	23140000000	167100000	26810000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.427920_0009604_	0.428	46.64	76.294	40
VELA12MRP	0.435571	10417	81.851	37.05	68.303	2	22510000	4	2	1638000	-2	0	1	8.54	-7.644	64.059	0.788	0.67	10210	0.004	1	10420	-44690	55460	-14590	3.91E+11	3.796E+11	2.349E+11	3.274E+11	3.917E+11	3.917E+11	4.918	1893000	7.797	8.365	184.9	0.436	0	0	0	214	0	0	0	0	0	20.161	28.375	19.93	21.391	1.139E+15	191100000	1.493	-1.192176316	23240000000	136600000	14930000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.435571_0010417_	0.436	47.473	76.294	40
VELA12MRP	0.444934	10112	141.9	35.06	131.1	2	24650000	4	2	1652000	-2	0	1	7.748	-6.011	62.564	0.785	0.667	9950	0.003	1	10110	-57070	54450	-12270	3.885E+11	3.762E+11	2.332E+11	3.227E+11	3.889E+11	3.889E+11	4.154	2200000	7.472	7.873	184.1	0.445	0	0	0	214.9	0	0	0	0	0	20.154	28.867	19.933	21.347	1.139E+15	195200000	1.498	-1.193332693	23380000000	152700000	14980000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.444934_0010112_	0.445	48.494	76.294	40
VELA12MRP	0.453527	7051	199.4	31.43	212.2	2	22040000	4	2	1655000	-2	0	1	8.162	-5.646	65.247	0.78	0.663	10150	0.005	1	7051	-65490	53400	-10040	3.854E+11	3.725E+11	2.351E+11	3.208E+11	3.854E+11	3.854E+11	6.359	1937000	6.997	7.37	183.2	0.454	0	0	0	216.4	0	0	0	0	0	20.147	27.893	19.936	21.306	1.139E+15	198700000	2.184	-1.031815228	23500000000	146200000	21840000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.453527_0007051_	0.454	49.43	76.294	40
VELA12MRP	0.460746	9959	147.5	63.304	142.8	2	18890000	4	2	1629000	-2	0	1	7.802	-4.173	65.395	0.781	0.662	7220	0.004	1	9959	-65370	53050	-7856	3.815E+11	3.674E+11	2.362E+11	3.182E+11	3.813E+11	3.813E+11	5	1853000	6.758	7.27	182.2	0.461	0	0	0	214.6	0	0	0	0	0	20.142	27.533	19.939	21.273	1.138E+15	202400000	0.843	-1.447084428	23600000000	110700000	8429000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.460746_0009959_	0.461	50.217	76.294	40
VELA12MRP	0.469537	10119	159.5	80.806	146.6	2	16730000	4	2	1625000	-2	0	1	8.533	-1.907	64.536	0.761	0.657	9711	0.004	1	10120	-63920	54750	-6793	3.77E+11	3.628E+11	2.364E+11	3.15E+11	3.764E+11	3.764E+11	4.59	1876000	6.577	7.069	181.1	0.47	0	0	0	213.2	0	0	0	0	0	20.136	27.412	19.942	21.234	1.139E+15	206100000	1.095	-1.335517435	23710000000	107100000	10950000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.469537_0010119_	0.47	51.175	76.294	40
VELA12MRP	0.478226	9675	167.6	10.341	168	2	15010000	4	2	1629000	-2	0	1	10.299	-1.792	67.346	0.76	0.643	9603	0.003	1	9675	-66910	56430	-4690	3.764E+11	3.604E+11	2.361E+11	3.12E+11	3.753E+11	3.753E+11	3.384	1413000	6.223	6.72	180.5	0.478	0	0	0	214.4	0	0	0	0	0	20.129	26.034	19.944	21.195	1.138E+15	211900000	0.682	-1.543157382	23820000000	120200000	6822000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.478226_0009675_	0.478	52.122	76.294	40
VELA12MRP	0.48668	4880	75.745	99.671	42.782	2	13680000	4	2	1632000	-2	0	1	9.335	-0.49	64.157	0.748	0.645	9739	0.005	1	4880	-64100	61580	-5422	3.75E+11	3.57E+11	2.369E+11	3.108E+11	3.732E+11	3.732E+11	6.16	1888000	5.979	6.415	179.8	0.487	0	0	0	215.1	0	0	0	0	0	20.123	26.217	19.946	21.158	1.139E+15	215800000	1.037	-1.362255566	23880000000	82130000	10370000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.486680_0004880_	0.487	53.044	76.294	40
VELA12MRP	0.498014	9325	273.6	50.331	261.1	2	12320000	4	2	1639000	-2	0	1	9.473	0.398	61.288	0.736	0.631	5252	0.003	1	9325	-57410	69780	-8007	3.696E+11	3.493E+11	2.375E+11	3.07E+11	3.673E+11	3.673E+11	4.58	2137000	5.629	6.15	178.3	0.498	0	0	0	214.1	0	0	0	0	0	20.115	28.112	19.949	21.112	1.139E+15	221100000	1.444	-1.22172843	24060000000	137500000	14440000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.498014_0009325_	0.498	54.279	76.294	40
VELA12MRP	0.507414	7144	123.1	109.3	110.5	2	20990000	4	2	1666000	-2	0	1	10.266	1.149	56.86	0.733	0.63	8816	0.005	1	7144	-53340	74760	-9225	3.642E+11	3.455E+11	2.39E+11	3.042E+11	3.619E+11	3.619E+11	7.179	2375000	5.251	5.81	177	0.507	0	0	0	214.5	0	0	0	0	0	20.109	27.783	19.952	21.074	1.139E+15	225900000	1.862	-1.113656192	24190000000	136400000	18620000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.507414_0007144_	0.507	55.304	76.294	40
