galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA02 280 2.568 2.57142857143 6 F160W 23.1871 19.8959 25.7862 4.0207 1.97219491203 1.0000 0.0486 76.2934 -2.348e-04
bulge VELA02 280 2.568 2.57142857143 6 F160W 17.5812 21.5316 26.1404 6.6725 3.27293022372 2.8690 0.2789 21.3024 -2.348e-04
disk VELA02 280 2.568 2.57142857143 7 F160W 20.3118 20.6155 25.5824 3.1890 1.56423746473 1.0000 0.6563 61.8860 -2.641e-04
bulge VELA02 280 2.568 2.57142857143 7 F160W 19.8137 16.0330 25.1930 61.5329 30.1825235164 6.9318 0.4319 56.7369 -2.641e-04
disk VELA02 280 2.568 2.57142857143 8 F160W 19.9949 23.3417 28.4000 14.0481 6.89073826539 1.0000 5.029e-03 63.5356 5.591e-05
bulge VELA02 280 2.568 2.57142857143 8 F160W 20.0570 19.2294 25.3779 3.8627 1.89469427878 0.1289 0.8916 -49.1185 5.591e-05
disk VELA02 290 2.704 2.44827586207 0 F160W 27.2991 21.0694 26.2245 5.3679 2.66065461979 1.0000 0.2303 25.4804 9.827e-05
bulge VELA02 290 2.704 2.44827586207 0 F160W 20.6126 20.0861 25.7128 4.7984 2.37837611125 0.0448 0.4731 -2.6295 9.827e-05
disk VELA02 290 2.704 2.44827586207 5 F160W 26.5553 26.5998 25.8968 9.614e-03 0.00476527757869 1.0000 0.0467 21.6285 3.145e-04
bulge VELA02 290 2.704 2.44827586207 5 F160W 16.2929 18.4886 25.7080 5.228e-03 0.00259131175176 5.1868 0.0610 -4.4723 3.145e-04
disk VELA02 290 2.704 2.44827586207 6 F160W 26.5057 22.5141 26.2519 5.994e-03 0.00297098749809 1.0000 0.3455 19.3379 1.930e-04
bulge VELA02 290 2.704 2.44827586207 6 F160W 29.0662 37.2539 26.8385 0.7697 0.381509689236 3.4833 0.6383 -2.3302 1.930e-04
other VELA02 290 2.704 2.44827586207 6 F160W 21.7121 18.0337 26.1830 5.546e-03 0.00274893170911 7.0940 0.2594 -77.8024 1.930e-04
disk VELA02 290 2.704 2.44827586207 7 F160W 19.0445 17.2912 23.1387 3.840e-03 0.00190333533411 1.0000 0.0498 -34.0567 1.349e-05
bulge VELA02 290 2.704 2.44827586207 7 F160W 22.2849 21.7986 25.2054 4.4722 2.2166917399 0.2421 0.6490 -58.9005 1.349e-05
disk VELA02 290 2.704 2.44827586207 8 F160W 25.4425 25.1897 26.7365 4.2862 2.12449893466 1.0000 0.0834 -41.2699 -2.490e-05
bulge VELA02 290 2.704 2.44827586207 8 F160W 21.4428 21.1565 25.4058 3.8971 1.931637534 0.6125 0.8952 59.6706 -2.490e-05
disk VELA02 300 2.842 2.33333333333 0 F160W 21.3792 22.5310 26.5294 15.2134 7.60993881728 1.0000 1.492e-03 -48.5393 3.079e-04
bulge VELA02 300 2.842 2.33333333333 0 F160W 20.9897 21.6993 24.9884 4.9399 2.47100166718 0.3219 0.7576 -50.7595 3.079e-04
disk VELA02 300 2.842 2.33333333333 1 F160W 24.2799 22.1141 25.0301 5.5907 2.79654021755 1.0000 0.2979 -88.7885 4.039e-04
bulge VELA02 300 2.842 2.33333333333 1 F160W 19.5648 21.8479 27.3808 2.2244 1.11267355786 19.6818 0.2827 -54.7182 4.039e-04
disk VELA02 300 2.842 2.33333333333 5 F160W 21.8271 21.9174 25.2302 3.5131 1.7572979123 1.0000 0.5020 73.3990 2.012e-04
bulge VELA02 300 2.842 2.33333333333 5 F160W 23.1423 21.9421 26.2911 15.3647 7.6856210279 0.0371 0.5038 -54.9989 2.012e-04
disk VELA02 300 2.842 2.33333333333 6 F160W 20.6229 22.0874 25.3314 4.3748 2.18833136168 1.0000 0.3324 67.5970 1.121e-04
bulge VELA02 300 2.842 2.33333333333 6 F160W 28.8505 24.2415 25.4449 49.9455 24.9833830175 7.3486 5.433e-03 -25.9826 1.121e-04
disk VELA02 300 2.842 2.33333333333 7 F160W 21.5771 23.2347 25.1272 7.2846 3.643850836 1.0000 0.3145 77.8971 9.441e-05
bulge VELA02 300 2.842 2.33333333333 7 F160W 21.2271 19.1348 24.8834 97.5788 48.8101737852 9.1430 0.0946 11.9280 9.441e-05
disk VELA02 300 2.842 2.33333333333 8 F160W 20.8288 21.3836 25.2635 6.2160 3.10932333917 1.0000 0.2141 80.4639 8.233e-05
bulge VELA02 300 2.842 2.33333333333 8 F160W 21.2492 26.5035 24.7346 134.0612 67.0591406109 19.9970 0.2649 35.4540 8.233e-05
disk VELA02 310 2.982 2.22580645161 0 F160W 20.9703 24.6525 26.2439 2.7392 1.38105995471 1.0000 0.3604 49.5105 3.795e-04
bulge VELA02 310 2.982 2.22580645161 0 F160W 23.0964 20.4894 26.1241 4.0860 2.06009454401 0.0540 0.5244 -49.7202 3.795e-04
disk VELA02 310 2.982 2.22580645161 1 F160W 21.0306 22.4463 25.9797 2.4342 1.22728393026 1.0000 0.0750 84.2607 2.224e-04
bulge VELA02 310 2.982 2.22580645161 1 F160W 25.6927 22.5696 26.1939 7.7761 3.92058276644 14.1360 0.5522 70.3884 2.224e-04
disk VELA02 310 2.982 2.22580645161 5 F160W 20.9470 22.9529 26.0362 2.9189 1.47166176322 1.0000 0.4084 -20.9225 4.258e-04
bulge VELA02 310 2.982 2.22580645161 5 F160W 24.6925 22.5223 26.1685 2.5274 1.27427384986 2.0185 0.7976 -31.3814 4.258e-04
disk VELA02 310 2.982 2.22580645161 6 F160W 21.8561 23.0202 25.9987 3.1520 1.5891869806 1.0000 0.0205 -80.5937 2.770e-04
bulge VELA02 310 2.982 2.22580645161 6 F160W 26.1625 24.3246 25.9166 6.0417 3.04612658016 0.2205 0.4116 -65.9814 2.770e-04
disk VELA02 310 2.982 2.22580645161 7 F160W 23.0613 22.3568 26.0763 2.3057 1.16249632651 1.0000 0.7934 -77.2378 4.535e-04
bulge VELA02 310 2.982 2.22580645161 7 F160W 22.5653 22.0587 26.4232 3.1011 1.56352403094 0.1001 0.9963 -81.6493 4.535e-04
disk VELA02 310 2.982 2.22580645161 8 F160W 22.1595 22.8807 25.8954 2.7334 1.37813568933 1.0000 0.3800 39.7892 5.879e-04
bulge VELA02 310 2.982 2.22580645161 8 F160W 23.4756 20.2572 26.6362 6.3635 3.20837289056 0.0389 0.0710 -26.5991 5.879e-04
disk VELA02 320 3.124 2.125 0 F160W 22.8442 22.4761 25.1745 3.7267 1.89162685894 1.0000 0.4374 -8.0467 5.394e-04
bulge VELA02 320 3.124 2.125 0 F160W 25.1263 14.0987 25.8070 7.0618 3.58448239796 0.0842 0.3164 59.9235 5.394e-04
other VELA02 320 3.124 2.125 1 F160W 26.7358 21.0955 25.6150 4.2264 2.14526840278 1.0000 0.2712 -89.8224 3.066e-04
bulge VELA02 320 3.124 2.125 1 F160W 27.3152 37.7111 26.3023 3.8749 1.96685134723 0.1425 0.5743 3.6522 3.066e-04
bulge VELA02 320 3.124 2.125 1 F160W 24.4225 24.1521 25.5764 3.5654 1.80975297257 4.6555 0.0425 -52.7736 3.066e-04
disk VELA02 320 3.124 2.125 5 F160W 20.1508 21.3473 24.8241 6.1505 3.12191778139 1.0000 0.3639 -28.6191 2.034e-04
bulge VELA02 320 3.124 2.125 5 F160W 24.7140 19.1419 25.3198 34.9731 17.7519133014 15.2811 6.990e-03 76.8481 2.034e-04
disk VELA02 320 3.124 2.125 6 F160W 19.0530 26.9775 31.3071 1.958e-03 0.000993856599621 1.0000 0.0500 88.8700 5.122e-04
bulge VELA02 320 3.124 2.125 6 F160W 24.1429 22.4740 25.0951 3.4807 1.76676029944 0.1628 0.8828 22.8071 5.122e-04
disk VELA02 320 3.124 2.125 7 F160W 18.0930 24.4328 25.1347 6.2255 3.15998685441 1.0000 0.2961 72.1124 4.911e-04
bulge VELA02 320 3.124 2.125 7 F160W 23.6838 23.0586 25.9501 0.0120 0.00609105168307 13.6151 0.9832 -8.0824 4.911e-04
disk VELA02 320 3.124 2.125 8 F160W 18.2719 23.6581 24.9583 6.1248 3.10887277904 1.0000 0.3917 60.6452 4.737e-04
bulge VELA02 320 3.124 2.125 8 F160W 23.7679 24.8332 26.7050 0.0122 0.00619256921112 1.7520 0.0894 52.7437 4.737e-04
disk VELA02 330 3.268 2.0303030303 0 F160W 23.0737 27.3964 24.7533 5.5492 2.83253038979 1.0000 0.5302 23.3334 8.346e-04
bulge VELA02 330 3.268 2.0303030303 0 F160W 23.0652 23.5089 25.4914 0.0368 0.0187841703929 19.9875 0.2229 -52.3839 8.346e-04
disk VELA02 330 3.268 2.0303030303 1 F160W 23.0899 23.6267 24.7614 2.3593 1.20427970674 1.0000 0.6464 82.1364 8.189e-04
bulge VELA02 330 3.268 2.0303030303 1 F160W 14.4809 22.6662 25.6694 8.0427 4.10531106573 0.1454 0.2107 9.3467 8.189e-04
disk VELA02 330 3.268 2.0303030303 5 F160W 25.8828 29.7242 24.8826 7.8117 3.98739956136 1.0000 0.3612 -40.1617 5.987e-04
bulge VELA02 330 3.268 2.0303030303 5 F160W 23.8642 23.3849 24.9349 2.5196 1.28610314462 0.3154 0.6580 70.2301 5.987e-04
disk VELA02 330 3.268 2.0303030303 6 F160W 22.8364 23.1628 24.6549 4.2253 2.15675965112 1.0000 0.3839 -61.0395 4.772e-04
bulge VELA02 330 3.268 2.0303030303 6 F160W 22.0436 28.1652 26.1153 3.0240 1.54356878446 12.3828 0.0369 -30.9173 4.772e-04
disk VELA02 330 3.268 2.0303030303 8 F160W 29.4116 25.2584 24.6425 7.0290 3.58787863293 1.0000 0.3791 -81.2203 5.789e-04
bulge VELA02 330 3.268 2.0303030303 8 F160W 23.2826 22.9167 25.1096 0.0279 0.0142412596185 19.9150 0.9134 -34.0715 5.789e-04
disk VELA02 340 3.413 1.94117647059 0 F160W 24.0018 23.5810 24.2490 3.0521 1.56497446721 1.0000 0.6514 20.6240 4.136e-04
bulge VELA02 340 3.413 1.94117647059 0 F160W 30.0088 26.1958 25.5643 126.9014 65.0691166256 6.0385 0.0112 -62.7496 4.136e-04
disk VELA02 340 3.413 1.94117647059 1 F160W 26.2658 24.4847 26.5127 10.3551 5.3096121049 1.0000 0.0500 -79.6648 3.420e-04
