galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
*VELA02, 310, 2.982, cam7, F160W, disk, , 299.5139, 304.6311, *, 0.3039, 19.4842, 55.2231, 0.8497, -11.9392, 3.95692796245
VELA02, 310, 2.982, cam7, F160W, bulge, , 300.2988, 300.7528, , 2.3175, 19.9632, 17.9166, 0.7726, -55.7604, 3.95692796245
*VELA02, 310, 2.982, cam8, F160W, disk, , 299.0182, 304.5876, *, 0.3095, 19.4753, 54.1011, 0.8672, 0.5335, 4.10079815768
VELA02, 310, 2.982, cam8, F160W, bulge, , 300.2955, 300.6908, , 2.3855, 19.9708, 18.0433, 0.7709, -48.7222, 4.10079815768
VELA02, 320, 3.124, cam0, F160W, bulge, , 298.1886, 232.1169, , 0.5394, 19.7240, 48.5043, 0.9072, -67.3343, 7.50931749562
VELA02, 320, 3.124, cam0, F160W, disk, , 293.5091, 226.2439, , 1.0046, 20.6565, 6.4035, 0.9027, -43.8391, 7.50931749562
VELA02, 320, 3.124, cam1, F160W, bulge, , 357.3936, 274.5024, , 0.6473, 20.3622, 35.9334, 0.7676, 67.8707, 6.72480419715
VELA02, 320, 3.124, cam1, F160W, disk, , 362.1554, 269.7539, , 0.9175, 20.8428, 4.5729, 0.5356, 85.2707, 6.72480419715
*VELA02, 320, 3.124, cam5, F160W, bulge, , 243.7612, 255.8050, *, 0.4993, 19.4130, 60.0506, 0.6669, -56.6119, 7.8129089493
VELA02, 320, 3.124, cam5, F160W, disk, , 237.3964, 251.2739, , 0.9639, 20.5315, 8.5003, 0.7004, 66.4815, 7.8129089493
*VELA02, 320, 3.124, cam6, F160W, bulge, *, 333.2437, 245.7514, , 2.1052, 20.1623, 10.5782, 0.8198, -46.9154, 62.0372120735
*VELA02, 320, 3.124, cam6, F160W, disk, *, 302.3089, 299.5255, , 0.7358, 19.0830, 47.8222, 0.3544, -89.9073, 62.0372120735
*VELA02, 320, 3.124, cam7, F160W, bulge, , 229.5105, 306.3031, *, 19.9991, 22.3615, 59.1463, 0.5694, -0.6547, 4.80856226434
VELA02, 320, 3.124, cam7, F160W, disk, , 230.6009, 301.6198, , 1.3967, 19.5047, 45.4380, 0.3507, 56.6035, 4.80856226434
*VELA02, 320, 3.124, cam8, F160W, disk, *, 289.9142, 303.4363, *, 0.3795, 19.1120, 65.2082, 0.7185, 82.5297, 11.0001203489
*VELA02, 320, 3.124, cam8, F160W, bulge, *, 300.6030, 300.8378, , 2.6687, 19.8845, 18.3534, 0.8638, 46.7326, 11.0001203489
*VELA02, 330, 3.268, cam0, F160W, bulge, *, 300.8420, 300.5656, , 1.4658, 18.7356, 24.2133, 0.8034, 78.0934, 73.2685387885
*VELA02, 330, 3.268, cam0, F160W, disk, *, 295.0042, 373.6012, *, 0.2966, 18.8940, 96.0013, 0.4842, 8.8409, 73.2685387885
*VELA02, 330, 3.268, cam1, F160W, bulge, *, 300.0363, 300.6614, , 1.3922, 18.4347, 30.1448, 0.4951, 87.0491, 115.510150829
*VELA02, 330, 3.268, cam1, F160W, disk, *, 184.5775, 297.2175, *, 0.2550, 19.9003, 85.7027, 0.6216, 18.8993, 115.510150829
*VELA02, 330, 3.268, cam5, F160W, disk, , 306.3084, 307.2840, *, 0.4708, 18.7541, 57.0526, 0.7271, 6.1322, 8.79880222985
VELA02, 330, 3.268, cam5, F160W, bulge, , 300.6236, 300.5682, , 1.0367, 19.1908, 18.2065, 0.7248, 73.3782, 8.79880222985
*VELA02, 330, 3.268, cam6, F160W, bulge, *, 300.5028, 300.9178, , 0.9087, 18.8913, 34.9960, 0.3496, -83.6672, 42.9616149907
*VELA02, 330, 3.268, cam6, F160W, disk, *, 257.5413, 301.0172, , 0.8946, 19.0804, 63.5034, 0.6194, -32.6279, 42.9616149907
*VELA02, 330, 3.268, cam7, F160W, disk, , 307.4847, 296.8712, *, 0.4222, 19.1827, 68.0125, 0.5330, -68.3664, 7.03519846771
VELA02, 330, 3.268, cam7, F160W, bulge, , 301.3355, 300.2890, , 1.6813, 18.8053, 23.5354, 0.8237, -9.1805, 7.03519846771
*VELA02, 330, 3.268, cam8, F160W, disk, , 307.6472, 301.6025, *, 0.4071, 18.9957, 59.5774, 0.5904, -45.8315, 6.77366878213
