galfit result file run on 07-11-2014
galaxyID timeStep age(GYr) camera filter px py mag rad sersicIndex b/a angle
VELA02 290 2.704 cam1 F160W 296.4021 299.8889 19.2221 48.6198 0.7332 0.3051 89.4480
VELA02 290 2.704 cam1 F160W 276.6331 540.2693 20.4865 15.4195 1.5529 0.7339 80.7749
VELA02 290 2.704 cam5 F160W 404.8327 435.3741 20.4666 18.8591 1.5279 0.6938 -3.5695
VELA02 290 2.704 cam5 F160W 300.7225 302.6476 19.0541 40.3846 0.8925 0.8083 -82.2514
VELA02 290 2.704 cam6 F160W 299.7707 298.7558 19.1786 45.1184 0.7334 0.3841 -88.7906
VELA02 290 2.704 cam6 F160W 415.1965 533.0634 20.5479 14.3975 1.2366 0.8107 63.0524
VELA02 290 2.704 cam7 F160W 352.4201 355.0885 20.2243 23.4933 1.4016 0.8352 -55.5642
VELA02 290 2.704 cam7 F160W 300.8379 301.1527 19.1126 37.3372 1.0119 0.8372 -89.0831
VELA02 290 2.704 cam8 F160W 300.8564 301.6336 19.0799 38.5327 1.0147 0.8289 -84.4162
VELA02 290 2.704 cam8 F160W 363.2250 363.2708 20.2723 22.8599 1.3772 0.7191 -38.0535
VELA02 300 2.842 cam0 F160W 297.9944 297.6232 18.8805 49.8568 0.6021 0.8900 74.6436
VELA02 300 2.842 cam1 F160W 508.8078 342.5423 20.6750 22.0833 1.0057 0.8919 -77.4572
VELA02 300 2.842 cam1 F160W 305.0492 301.5519 18.9603 44.9109 0.8581 0.3669 86.2702
VELA02 300 2.842 cam5 F160W 297.7469 300.1202 18.8649 45.0527 0.7987 0.7352 76.6578
VELA02 300 2.842 cam6 F160W 299.2020 300.5005 18.9084 48.7168 0.8500 0.3222 88.4890
VELA02 300 2.842 cam7 F160W 296.8719 301.2440 18.8398 44.8330 0.7153 0.9171 56.0765
VELA02 300 2.842 cam8 F160W 297.2145 300.9653 18.8426 44.6145 0.7363 0.8961 64.5170
VELA02 310 2.982 cam0 F160W 299.8413 301.1709 19.0947 37.0987 0.9302 0.9229 16.4045
VELA02 310 2.982 cam1 F160W 503.3962 110.7131 20.8883 17.1788 1.2462 0.8383 -88.7737
VELA02 310 2.982 cam1 F160W 300.5607 300.6516 19.0938 40.7583 0.9611 0.3452 87.5540
VELA02 310 2.982 cam5 F160W 299.7273 302.5731 19.0391 36.7435 0.8294 0.8977 76.1461
VELA02 310 2.982 cam5 F160W 168.7367 35.4633 21.6388 14.5583 4.1594 0.4814 -40.2997
VELA02 310 2.982 cam6 F160W 302.0020 301.9788 19.0859 47.1167 0.8215 0.4264 -89.0965
VELA02 310 2.982 cam7 F160W 71.9631 114.2663 22.4985 14.2269 3.0848 0.5575 -79.4692
VELA02 310 2.982 cam7 F160W 300.8952 302.3583 19.0814 39.0693 0.8304 0.8524 -43.0938
VELA02 310 2.982 cam8 F160W 101.7287 96.1456 22.5104 15.2033 2.9413 0.5180 -69.4015
VELA02 310 2.982 cam8 F160W 300.7339 302.1898 19.0665 37.9316 0.8615 0.8926 -39.5175
VELA02 320 3.124 cam0 F160W 401.5328 128.1873 21.0054 11.7119 1.5937 0.7584 7.4373
VELA02 320 3.124 cam0 F160W 299.1077 301.2704 18.9649 37.1306 1.0665 0.8366 46.9743
VELA02 320 3.124 cam0 F160W 293.3910 225.8774 19.8762 18.0208 2.3845 0.7901 -38.8091
VELA02 320 3.124 cam1 F160W 362.4969 269.4832 20.1247 11.3383 2.6689 0.6452 -78.5494
VELA02 320 3.124 cam1 F160W 414.4970 538.9149 22.2808 101.8514 3.0724 0.3016 -26.0334
VELA02 320 3.124 cam1 F160W 304.4472 300.9689 19.0174 44.1630 0.9445 0.3498 -66.0847
VELA02 320 3.124 cam5 F160W 300.2080 302.9244 18.9681 36.4762 0.9868 0.8766 43.6471
VELA02 320 3.124 cam5 F160W 237.2259 250.5933 19.6209 21.4759 1.9015 0.7466 -89.0249
VELA02 320 3.124 cam6 F160W 302.2953 299.5230 19.0807 47.7516 0.7507 0.3544 89.8797
VELA02 320 3.124 cam6 F160W 333.2417 245.7442 20.1551 10.4898 2.1292 0.8534 -46.3153
VELA02 320 3.124 cam6 F160W 476.6004 438.3278 20.6648 16.1120 2.2485 0.8592 -66.0555
VELA02 320 3.124 cam7 F160W 302.1682 303.8825 18.9719 37.3887 0.9596 0.9264 53.4748
VELA02 320 3.124 cam7 F160W 228.8808 302.1057 19.8078 30.6951 2.2504 0.4052 50.8003
VELA02 320 3.124 cam8 F160W 302.1080 303.9559 18.9885 37.1104 0.9704 0.9200 45.1005
VELA02 320 3.124 cam8 F160W 227.1016 298.4204 19.7382 32.2426 2.1498 0.4171 55.6763
VELA02 330 3.268 cam0 F160W 301.5749 300.2277 18.4837 27.7671 1.3159 0.8672 70.5083
VELA02 330 3.268 cam0 F160W 32.2512 489.8086 35.0340 0.0101 7.0421 0.0500 -30.6409
VELA02 330 3.268 cam0 F160W 287.0606 415.3627 19.2330 71.1270 0.4286 0.6356 -9.1543
VELA02 330 3.268 cam1 F160W 178.2911 350.6267 20.2559 38.2716 2.2331 0.5566 54.2103
